,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left
0,/html/body/div[15],/html/body/div[],3,0,60,3402.166748046875,1903.0,741,1,0,0,0,0,0,0,0,0
1,/html/body/div[15]/div,/html/body/div[]/div,4,0,60,3402.166748046875,1903.0,740,2,0,0,0,0,0,0,0,0
2,/html/body/div[15]/div/div[2],/html/body/div[]/div/div[],5,0,60,143.0,1903.0,79,1,0,0,0,0,0,0,0,0
3,/html/body/div[15]/div/div[2]/div[1],/html/body/div[]/div/div[]/div[],6,0,60,143.0,1903.0,77,2,0,0,5,0,0,0,0,0
4,/html/body/div[15]/div/div[2]/div[2],/html/body/div[]/div/div[]/div[],6,0,60,143.0,1903.0,0,1,0,0,0,0,0,0,0,0
5,/html/body/div[15]/div/div[3],/html/body/div[]/div/div[],5,0,203,104.0,1903.0,9,2,0,0,0,0,0,0,0,0
6,/html/body/div[15]/div/div[3]/div,/html/body/div[]/div/div[]/div,6,402,203,104.0,1100.0,8,2,12,16,12,16,0,401.5,0,401.5
7,/html/body/div[15]/div/div[3]/div/div[1],/html/body/div[]/div/div[]/div/div[],7,432,215,80.0,1041.0833740234375,3,1,0,16,0,16,0,0,0,0
8,/html/body/div[15]/div/div[4],/html/body/div[]/div/div[],5,402,307,3155.166748046875,1100.0,644,1,0,0,0,0,0,401.5,0,401.5
9,/html/body/div[15]/div/div[4]/div[1],/html/body/div[]/div/div[]/div[],6,402,307,3155.166748046875,1100.0,640,1,24,0,0,0,0,0,0,0
10,/html/body/div[15]/div/div[4]/div[1]/div,/html/body/div[]/div/div[]/div[]/div,7,386,331,3131.166748046875,1116.0,639,1,0,0,0,0,0,0,0,-16
11,/html/body/div[15]/div/div[4]/div[1]/div/div[1],/html/body/div[]/div/div[]/div[]/div/div[],8,1222,331,102.0,279.0,16,2,0,0,0,16,0,0,0,0
12,/html/body/div[15]/div/div[4]/div[1]/div/div[1]/div[1],/html/body/div[]/div/div[]/div[]/div/div[]/div[],9,1238,331,102.0,263.0,7,4,0,0,0,0,0,0,0,0
13,/html/body/div[15]/div/div[4]/div[1]/div/div[1]/div[1]/div,/html/body/div[]/div/div[]/div[]/div/div[]/div[]/div,10,1238,331,102.0,263.0,6,1,0,0,0,0,0,0,0,0
14,/html/body/div[15]/div/div[4]/div[1]/div/div[1]/div[2],/html/body/div[]/div/div[]/div[]/div/div[]/div[],9,1238,155,102.0,278.0,7,3,0,12,0,0,0,0,0,0
15,/html/body/div[15]/div/div[4]/div[1]/div/div[1]/div[2]/div,/html/body/div[]/div/div[]/div[]/div/div[]/div[]/div,10,1238,155,102.0,266.0,6,1,0,0,0,0,0,0,0,0
