,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left,is_search_result
0,/html/body/div[1],/html/body/div[],3,0,826,140.36666870117188,1903.0,805,8,0,0,18,0,0,0,0,0,False
1,/html/body/div[1]/div[1],/html/body/div[]/div[],4,632,826,122.36666870117188,640.0,36,1,0,8,0,0,0,631.5,0,631.5,False
2,/html/body/div[1]/div[1]/div[2],/html/body/div[]/div[]/div[],5,632,826,86.76666259765625,632.0,4,2,12,0,8,8,0,0,0,0,False
3,/html/body/div[5],/html/body/div[],3,0,0,966.0,1903.0,0,2,0,0,0,0,0,0,0,0,False
4,/html/body/div[6],/html/body/div[],3,0,62,966.0,1903.0,0,2,0,0,0,0,0,0,0,0,False
5,/html/body/header/div/div[2],/html/body/header/div/div[],5,1903,0,966.0,340.0,6,1,0,0,0,0,0,0,0,0,False
6,/html/body/div[8],/html/body/div[],3,0,127,5975.0,1903.0,2315,1,0,0,0,0,0,0,0,0,False
7,/html/body/div[8]/div,/html/body/div[]/div,4,0,127,5975.0,1903.0,2314,1,0,0,0,0,0,0,0,0,False
8,/html/body/div[8]/div/div[1],/html/body/div[]/div/div[],5,0,127,5975.0,315.0,0,1,0,0,0,0,0,0,0,0,False
9,/html/body/div[8]/div/div[3],/html/body/div[]/div/div[],5,0,127,3168.88330078125,475.75,511,2,0,0,0,0,0,0,0,0,False
10,/html/body/div[8]/div/div[3]/div/section/div[2],/html/body/div[]/div/div[]/div/section/div[],8,0,127,3168.88330078125,475.75,507,1,0,0,0,0,0,0,0,0,False
11,/html/body/div[8]/div/div[3]/div/section/div[2]/div,/html/body/div[]/div/div[]/div/section/div[]/div,9,0,127,3168.88330078125,315.0,506,2,0,0,55,0,0,0,0,0,False
12,/html/body/div[8]/div/div[3]/div/section/div[2]/div/div[1],/html/body/div[]/div/div[]/div/section/div[]/div/div[],10,0,127,3113.88330078125,315.0,502,1,0,0,0,0,0,0,0,0,False
13,/html/body/div[8]/div/div[3]/div/section/div[2]/div/div[1]/div,/html/body/div[]/div/div[]/div/section/div[]/div/div[]/div,11,0,127,3113.88330078125,315.0,501,1,0,0,0,0,0,0,0,0,False
