,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left,is_search_result
0,/html/body/div[6],/html/body/div[],3,120,166,7277.60009765625,1110.0,5109,2,0,0,0,0,0,119.5,0,119.5,False
1,/html/body/div[6]/div,/html/body/div[]/div,4,120,166,7277.60009765625,1110.0,5108,1,0,0,0,0,0,0,0,0,False
2,/html/body/div[6]/div/div[3],/html/body/div[]/div/div[],5,120,210,7233.60009765625,1110.0,5056,3,0,0,0,0,0,0,0,0,False
3,/html/body/div[6]/div/div[3]/div[1],/html/body/div[]/div/div[]/div[],6,120,210,7233.60009765625,1110.0,5052,2,0,5,0,5,16,0,0,0,False
4,/html/body/div[6]/div/div[3]/div[1]/div[1],/html/body/div[]/div/div[]/div[]/div[],7,410,210,7220.60009765625,814.0,2919,3,0,0,0,0,0,0,13,0,False
5,/html/body/div[6]/div/div[3]/div[1]/div[1]/div[4],/html/body/div[]/div/div[]/div[]/div[]/div[],8,410,210,76.60000610351562,814.0,18,1,0,0,0,0,0,0,0,0,False
6,/html/body/div[6]/div/div[3]/div[1]/div[1]/div[4]/div,/html/body/div[]/div/div[]/div[]/div[]/div[]/div,9,410,210,76.60000610351562,814.0,17,1,0,0,0,0,0,0,0,0,False
7,/html/body/div[6]/div/div[3]/div[1]/div[1]/div[4]/div/div[1],/html/body/div[]/div/div[]/div[]/div[]/div[]/div/div[],10,410,210,76.60000610351562,694.0,12,1,0,0,0,0,0,0,0,0,False
8,/html/body/div[6]/div/div[3]/div[1]/div[1]/div[4]/div/div[1]/div,/html/body/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div,11,410,210,76.60000610351562,694.0,11,2,0,0,0,0,0,0,0,0,False
9,/html/body/div[6]/div/div[3]/div[1]/div[1]/div[6],/html/body/div[]/div/div[]/div[]/div[]/div[],8,410,297,6980.0,814.0,2833,1,0,0,0,0,0,0,0,0,False
10,/html/body/div[6]/div/div[3]/div[1]/div[1]/div[6]/div[3],/html/body/div[]/div/div[]/div[]/div[]/div[]/div[],9,410,402,6874.7998046875,814.0,2761,4,0,0,0,0,0,0,0,0,False
11,/html/body/div[6]/div/div[3]/div[1]/div[1]/div[6]/div[3]/div[1],/html/body/div[]/div/div[]/div[]/div[]/div[]/div[]/div[],10,410,402,6731.0,814.0,2713,1,0,0,0,0,0,0,0,0,False
12,/html/body/div[6]/div/div[3]/div[1]/div[1]/div[6]/div[3]/div[1]/div,/html/body/div[]/div/div[]/div[]/div[]/div[]/div[]/div[]/div,11,410,402,6731.0,814.0,2711,5,0,0,0,0,0,0,0,0,False
13,/html/body/div[6]/div/div[3]/div[1]/div[1]/div[6]/div[3]/div[1]/div/div[1],/html/body/div[]/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[],12,410,402,254.5,814.0,131,6,16,16,16,16,16,0,16,0,True
14,/html/body/div[6]/div/div[3]/div[1]/div[1]/div[6]/div[3]/div[1]/div/div[1]/div[1],/html/body/div[]/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div[],13,428,419,220.5,200.0,35,2,0,0,0,0,0,0,0,0,False
15,/html/body/div[6]/div/div[3]/div[1]/div[1]/div[6]/div[3]/div[1]/div/div[1]/div[2],/html/body/div[]/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div[],13,628,419,220.5,580.0,94,1,0,0,0,16,0,0,0,0,False
16,/html/body/div[6]/div/div[3]/div[1]/div[1]/div[6]/div[3]/div[1]/div/div[1]/div[2]/div[3],/html/body/div[]/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div[]/div[],14,644,524,115.0,564.0,45,1,0,0,0,0,8,0,0,0,False
17,/html/body/div[6]/div/div[3]/div[1]/div[1]/div[6]/div[3]/div[1]/div/div[1]/div[2]/div[3]/div,/html/body/div[]/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div[]/div[]/div,15,644,520,123.0,564.0,44,1,0,0,0,0,0,0,0,0,False
18,/html/body/div[6]/div/div[3]/div[1]/div[1]/div[6]/div[3]/div[1]/div/div[1]/div[2]/div[3]/div/div,/html/body/div[]/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div,16,644,520,123.0,564.0,43,3,0,0,0,0,0,0,0,0,False
19,/html/body/div[6]/div/div[3]/div[1]/div[1]/div[6]/div[3]/div[1]/div/div[1]/div[2]/div[3]/div/div/div,/html/body/div[]/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div,17,644,520,123.0,564.0,42,0,0,0,0,0,0,0,0,0,False
20,/html/body/div[6]/div/div[3]/div[1]/div[1]/div[6]/div[3]/div[1]/div/div[1]/div[2]/div[3]/div/div/div/div,/html/body/div[]/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div/div,18,640,520,123.0,572.0,41,5,4,4,4,4,-4,-4,-4,-4,False
21,/html/body/div[6]/div/div[3]/div[1]/div[1]/div[6]/div[3]/div[1]/div/div[1]/div[2]/div[3]/div/div/div/div/div[1],/html/body/div[]/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div/div/div[],19,644,524,115.0,379.0,20,1,0,24,0,0,0,0,0,0,False
22,/html/body/div[6]/div/div[3]/div[1]/div[1]/div[6]/div[3]/div[1]/div/div[1]/div[2]/div[3]/div/div/div/div/div[1]/div,/html/body/div[]/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div/div/div[]/div,20,644,524,113.0,355.0,19,1,0,0,0,0,0,0,0,0,False
23,/html/body/div[6]/div/div[3]/div[1]/div[1]/div[6]/div[3]/div[1]/div/div[1]/div[2]/div[3]/div/div/div/div/div[2],/html/body/div[]/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div/div/div[],19,1022,524,115.0,185.0,19,2,0,0,0,0,0,0,0,0,False
24,/html/body/div[6]/div/div[3]/div[1]/div[1]/div[6]/div[3]/div[1]/div/div[2],/html/body/div[]/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[],12,410,672,280.5,814.0,114,6,16,16,16,16,16,0,16,0,True
25,/html/body/div[6]/div/div[3]/div[1]/div[1]/div[6]/div[3]/div[1]/div/div[2]/div[1],/html/body/div[]/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div[],13,428,689,246.5,200.0,20,2,0,0,0,0,0,0,0,0,False
26,/html/body/div[6]/div/div[3]/div[1]/div[1]/div[6]/div[3]/div[1]/div/div[2]/div[2],/html/body/div[]/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div[],13,628,689,246.5,580.0,92,1,0,0,0,16,0,0,0,0,False
27,/html/body/div[6]/div/div[3]/div[1]/div[1]/div[6]/div[3]/div[1]/div/div[2]/div[2]/div[1],/html/body/div[]/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div[]/div[],14,644,689,87.5,564.0,41,1,0,0,0,0,0,0,0,0,False
