,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left
0,/html/body/div[4],/html/body/div[],3,120,107,8433.5,1110.0,5816,2,0,0,0,0,0,119.5,0,119.5
1,/html/body/div[4]/div,/html/body/div[]/div,4,120,107,8433.5,1110.0,5815,1,0,0,0,0,0,0,0,0
2,/html/body/div[4]/div/div[3],/html/body/div[]/div/div[],5,120,151,8389.5,1110.0,5767,3,0,0,0,0,0,0,0,0
3,/html/body/div[4]/div/div[3]/div[1],/html/body/div[]/div/div[]/div[],6,120,151,8389.5,1110.0,5764,2,0,5,0,5,16,0,0,0
4,/html/body/div[4]/div/div[3]/div[1]/div[1],/html/body/div[]/div/div[]/div[]/div[],7,410,151,8376.5,814.0,3424,3,0,0,0,0,0,0,13,0
5,/html/body/div[4]/div/div[3]/div[1]/div[1]/div[1],/html/body/div[]/div/div[]/div[]/div[]/div[],8,410,153,468.0,814.0,202,2,16,16,16,16,2,0,16,0
6,/html/body/div[4]/div/div[3]/div[1]/div[1]/div[1]/div,/html/body/div[]/div/div[]/div[]/div[]/div[]/div,9,428,170,102.0,780.0,46,2,0,0,0,0,0,0,0,0
7,/html/body/div[4]/div/div[3]/div[1]/div[1]/div[1]/div/div,/html/body/div[]/div/div[]/div[]/div[]/div[]/div/div,10,428,170,102.0,780.0,39,7,0,0,0,0,0,0,0,0
8,/html/body/div[4]/div/div[3]/div[1]/div[1]/div[1]/div/div/div,/html/body/div[]/div/div[]/div[]/div[]/div[]/div/div/div,11,428,170,102.0,780.0,38,2,0,0,0,0,0,0,0,0
9,/html/body/div[4]/div/div[3]/div[1]/div[1]/div[1]/div/div/div/div,/html/body/div[]/div/div[]/div[]/div[]/div[]/div/div/div/div,12,428,170,101.0,780.0,37,1,0,0,0,0,0,0,0,0
10,/html/body/div[4]/div/div[3]/div[1]/div[1]/div[1]/section/div,/html/body/div[]/div/div[]/div[]/div[]/div[]/section/div,10,428,288,316.0,780.0,153,1,0,0,0,0,0,0,0,0
11,/html/body/div[4]/div/div[3]/div[1]/div[1]/div[1]/section/div/div,/html/body/div[]/div/div[]/div[]/div[]/div[]/section/div/div,11,428,288,316.0,780.0,152,2,0,0,0,0,0,0,0,0
12,/html/body/div[4]/div/div[3]/div[1]/div[1]/div[1]/section/div/div/div,/html/body/div[]/div/div[]/div[]/div[]/div[]/section/div/div/div,12,428,288,316.0,780.0,151,3,0,0,4,0,0,0,0,0
