,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left,is_search_result
0,/html/body/div[1]/div,/html/body/div[]/div,4,0,620,176.89999389648438,1349.0,10,2,20,50,20,50,0,0,0,0,False
1,/html/body/div[1]/div/div,/html/body/div[]/div/div,5,50,640,136.89999389648438,1249.0,9,1,0,0,0,0,0,0,0,0,False
2,/html/body/div[1]/div/div/div[2],/html/body/div[]/div/div/div[],6,990,678,87.0,249.8000030517578,4,1,0,0,0,0,10,0,0,0,False
3,/html/body/div[4],/html/body/div[],3,0,0,4790.0,1349.0,3703,1,0,0,0,0,0,0,0,0,False
4,/html/body/div[4]/main/div,/html/body/div[]/main/div,5,0,50,4446.0,1349.0,3401,2,0,0,0,0,0,0,0,0,False
5,/html/body/div[4]/main/div/div,/html/body/div[]/main/div/div,6,0,50,4446.0,1349.0,3400,3,0,0,0,0,0,0,0,0,False
6,/html/body/div[4]/main/div/div/div[3]/div[2]/form/div[2]/div,/html/body/div[]/main/div/div/div[]/div[]/form/div[]/div,11,110,195,80.0,1130.0,35,2,0,0,0,0,10,0,0,0,False
7,/html/body/div[4]/main/div/div/div[7],/html/body/div[]/main/div/div/div[],7,74,131,4365.0,1200.0,3111,1,0,15,0,15,20,74.5,0,74.5,False
8,/html/body/div[4]/main/div/div/div[7]/div[1],/html/body/div[]/main/div/div/div[]/div[],8,74,131,4365.0,1200.0,3107,1,0,0,0,0,0,-15,0,-15,False
9,/html/body/div[4]/main/div/div/div[7]/div[1]/div[3],/html/body/div[]/main/div/div/div[]/div[]/div[],9,74,131,2610.5,300.0,462,2,0,15,0,15,0,0,0,0,False
10/html/body/div[4]/main/div/div/div[7]/div[1]/div[3]/div,/html/body/div[]/main/div/div/div[]/div[]/div[]/div,10,90,146,2595.5,270.0,461,3,0,0,0,0,0,0,0,0,False
11,/html/body/div[4]/main/div/div/div[7]/div[1]/div[3]/div/div[2],/html/body/div[]/main/div/div/div[]/div[]/div[]/div/div[],11,90,182,2559.5,270.0,456,1,0,0,0,0,0,0,0,0,False
12,/html/body/div[4]/main/div/div/div[7]/div[1]/div[3]/div/div[2]/div[1],/html/body/div[]/main/div/div/div[]/div[]/div[]/div/div[]/div[],12,90,183,232.5,268.0,25,1,5,0,5,0,0,0,0,0,False
13,/html/body/div[4]/main/div/div/div[7]/div[1]/div[3]/div/div[2]/div[1]/div[2],/html/body/div[]/main/div/div/div[]/div[]/div[]/div/div[]/div[]/div[],13,90,234,164.0,268.0,21,2,0,0,0,0,0,0,0,0,False
14,/html/body/div[4]/main/div/div/div[7]/div[1]/div[3]/div/div[2]/div[2],/html/body/div[]/main/div/div/div[]/div[]/div[]/div/div[]/div[],12,90,416,109.5,268.0,9,1,5,0,5,0,0,0,0,0,False
15,/html/body/div[4]/main/div/div/div[7]/div[1]/div[3]/div/div[2]/div[3],/html/body/div[]/main/div/div/div[]/div[]/div[]/div/div[]/div[],12,90,525,314.5,268.0,50,1,5,0,5,0,0,0,0,0,False
16,/html/body/div[4]/main/div/div/div[7]/div[1]/div[3]/div/div[2]/div[3]/div[2],/html/body/div[]/main/div/div/div[]/div[]/div[]/div/div[]/div[]/div[],13,90,576,246.0,268.0,47,2,0,0,0,0,0,0,0,0,False
17,/html/body/div[4]/main/div/div/div[7]/div[1]/div[3]/div/div[2]/div[4],/html/body/div[]/main/div/div/div[]/div[]/div[]/div/div[]/div[],12,90,840,127.0,268.0,18,1,5,0,5,0,0,0,0,0,False
18,/html/body/div[4]/main/div/div/div[7]/div[1]/div[3]/div/div[2]/div[6],/html/body/div[]/main/div/div/div[]/div[]/div[]/div/div[]/div[],12,90,966,232.5,268.0,44,1,5,0,5,0,0,0,0,0,False
19,/html/body/div[4]/main/div/div/div[7]/div[1]/div[3]/div/div[2]/div[7],/html/body/div[]/main/div/div/div[]/div[]/div[]/div/div[]/div[],12,90,1199,128.0,268.0,7,1,5,0,5,0,0,0,0,0,False
20,/html/body/div[4]/main/div/div/div[7]/div[1]/div[3]/div/div[2]/div[8],/html/body/div[]/main/div/div/div[]/div[]/div[]/div/div[]/div[],12,90,1327,109.5,268.0,14,1,5,0,5,0,0,0,0,0,False
21,/html/body/div[4]/main/div/div/div[7]/div[1]/div[3]/div/div[2]/div[9],/html/body/div[]/main/div/div/div[]/div[]/div[]/div/div[]/div[],12,90,1436,301.5,268.0,25,1,5,0,5,0,0,0,0,0,False
22,/html/body/div[4]/main/div/div/div[7]/div[1]/div[3]/div/div[2]/div[9]/div[2],/html/body/div[]/main/div/div/div[]/div[]/div[]/div/div[]/div[]/div[],13,90,1488,233.0,268.0,22,2,0,0,0,0,0,0,0,0,False
23,/html/body/div[4]/main/div/div/div[7]/div[1]/div[3]/div/div[2]/div[10],/html/body/div[]/main/div/div/div[]/div[]/div[]/div/div[]/div[],12,90,1738,355.5,268.0,91,1,5,0,5,0,0,0,0,0,False
24,/html/body/div[4]/main/div/div/div[7]/div[1]/div[3]/div/div[2]/div[10]/div[2],/html/body/div[]/main/div/div/div[]/div[]/div[]/div/div[]/div[]/div[],13,90,1789,297.5,268.0,88,2,0,0,0,0,0,0,0,0,False
25,/html/body/div[4]/main/div/div/div[7]/div[1]/div[3]/div/div[2]/div[11],/html/body/div[]/main/div/div/div[]/div[]/div[]/div/div[]/div[],12,90,2094,314.5,268.0,95,1,5,0,5,0,0,0,0,0,False
26,/html/body/div[4]/main/div/div/div[7]/div[1]/div[3]/div/div[2]/div[11]/div[2],/html/body/div[]/main/div/div/div[]/div[]/div[]/div/div[]/div[]/div[],13,90,2144,256.5,268.0,92,2,0,0,0,0,0,0,0,0,False
27,/html/body/div[4]/main/div/div/div[7]/div[1]/div[3]/div/div[2]/div[12],/html/body/div[]/main/div/div/div[]/div[]/div[]/div/div[]/div[],12,90,2408,312.5,268.0,39,1,5,0,5,0,0,0,0,0,False
28,/html/body/div[4]/main/div/div/div[7]/div[1]/div[3]/div/div[2]/div[12]/div[2],/html/body/div[]/main/div/div/div[]/div[]/div[]/div/div[]/div[]/div[],13,90,2459,246.0,268.0,36,2,0,0,0,0,0,0,0,0,False
29,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5],/html/body/div[]/main/div/div/div[]/div[]/div[],9,374,131,4305.0,900.0,2631,1,0,15,0,15,0,0,60,0,False
30,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[],10,390,231,4205.0,870.0,2561,4,0,0,0,0,0,0,0,0,False
31,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[],11,390,231,4205.0,870.0,2544,1,0,0,0,0,0,0,0,0,False
32,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[],12,390,231,4130.0,870.0,2540,1,0,0,0,0,0,0,0,0,False
33,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div,/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div,13,390,231,4130.0,870.0,2539,1,0,0,0,0,0,0,0,0,False
34,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[1],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[],14,390,231,176.0,870.0,81,3,0,0,0,0,0,0,10,0,True
35,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[1]/div,/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div,15,376,232,174.0,898.0,80,1,0,0,0,0,0,-15,0,-15,False
36,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[1]/div/div[1],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div[],16,376,232,174.0,299.33331298828125,11,1,0,15,0,15,0,0,0,0,False
37,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[1]/div/div[1]/div,/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div,17,390,232,174.0,269.33331298828125,10,1,0,0,0,0,0,0,0,0,False
38,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[1]/div/div[2],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div[],16,675,232,174.0,598.6666870117188,66,1,0,15,0,0,0,0,0,0,False
39,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[1]/div/div[2]/div[1],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[],17,675,232,174.0,350.20001220703125,42,1,15,0,15,0,0,0,0,0,False
40,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[1]/div/div[2]/div[2],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[],17,1025,232,174.0,233.46665954589844,22,1,15,0,15,0,0,0,0,0,False
41,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[3],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[],14,390,417,90.0,870.0,4,4,0,0,0,0,0,0,10,0,False
42,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[3]/div,/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div,15,390,417,90.0,870.0,3,1,0,0,0,0,0,0,0,0,False
43,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[3]/div/div,/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div,16,390,417,90.0,870.0,2,6,0,0,0,0,0,0,0,0,False
44,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[3]/div/div/div,/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div/div,17,460,417,90.0,728.0,1,2,0,0,0,0,0,0,0,0,False
45,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[5],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[],14,390,517,176.0,870.0,98,3,0,0,0,0,0,0,0,0,False
46,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[5]/div,/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div,15,390,517,176.0,870.0,97,2,0,0,0,0,0,0,10,0,True
47,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[5]/div/div,/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div,16,376,518,174.0,898.0,96,1,0,0,0,0,0,-15,0,-15,False
48,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[5]/div/div/div[1],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div/div[],17,376,518,174.0,299.33331298828125,11,1,0,15,0,15,0,0,0,0,False
49,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[5]/div/div/div[1]/div,/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div/div[]/div,18,390,518,174.0,269.33331298828125,10,1,0,0,0,0,0,0,0,0,False
50,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[5]/div/div/div[2],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div/div[],17,675,518,174.0,598.6666870117188,82,1,0,15,0,0,0,0,0,0,False
51,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[5]/div/div/div[2]/div[1],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div/div[]/div[],18,675,518,174.0,350.20001220703125,52,1,15,0,15,0,0,0,0,0,False
52,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[5]/div/div/div[2]/div[2],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div/div[]/div[],18,1025,518,174.0,233.46665954589844,28,1,15,0,15,0,0,0,0,0,False
53,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[7],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[],14,390,703,90.0,870.0,7,4,0,0,0,0,0,0,0,0,False
54,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[7]/div,/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div,15,390,703,90.0,870.0,6,1,15,15,15,15,10,0,10,0,False
55,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[8],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[],14,390,803,176.0,870.0,97,3,0,0,0,0,0,0,10,0,True
56,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[8]/div,/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div,15,376,804,174.0,898.0,96,1,0,0,0,0,0,-15,0,-15,False
57,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[8]/div/div[1],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div[],16,376,804,174.0,299.33331298828125,11,1,0,15,0,15,0,0,0,0,False
58,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[8]/div/div[1]/div,/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div,17,390,804,174.0,269.33331298828125,10,1,0,0,0,0,0,0,0,0,False
59,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[8]/div/div[2],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div[],16,675,804,174.0,598.6666870117188,82,1,0,15,0,0,0,0,0,0,False
