,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left
0,/html/body/div[1]/div,/html/body/div[]/div,4,0,509,176.89999389648438,1349.0,10,2,20,50,20,50,0,0,0,0
1,/html/body/div[1]/div/div,/html/body/div[]/div/div,5,50,529,136.89999389648438,1249.0,9,1,0,0,0,0,0,0,0,0
2,/html/body/div[1]/div/div/div[2],/html/body/div[]/div/div/div[],6,990,568,87.0,249.8000030517578,4,1,0,0,0,0,10,0,0,0
3,/html/body/div[4],/html/body/div[],3,0,0,1043.0,1349.0,564,1,0,0,0,0,0,0,0,0
4,/html/body/div[4]/main/div,/html/body/div[]/main/div,5,74,93,340.0,1200.0,159,1,0,15,0,15,0,74.5,0,74.5
5,/html/body/div[4]/main/div/div,/html/body/div[]/main/div/div,6,290,108,310.0,768.0,158,1,0,0,0,0,15,201,15,201
6,/html/body/div[4]/main/div/div/div,/html/body/div[]/main/div/div/div,7,290,108,207.25,768.0,157,1,0,0,0,0,0,0,0,0
7,/html/body/div[4]/main/div/div/div/div,/html/body/div[]/main/div/div/div/div,8,290,108,207.25,768.0,156,2,0,0,0,0,0,0,0,0
8,/html/body/div[4]/main/div/div/div/div/div,/html/body/div[]/main/div/div/div/div/div,9,290,108,207.25,768.0,155,2,20,0,20,0,0,0,20,0
9,/html/body/div[4]/main/div/div/div/div/div/div,/html/body/div[]/main/div/div/div/div/div/div,10,290,128,167.25,768.0,154,1,0,0,0,0,0,0,0,0
10,/html/body/div[4]/main/div/div/div/div/div/div/div,/html/body/div[]/main/div/div/div/div/div/div/div,11,290,128,167.25,768.0,153,2,0,15,0,15,0,0,0,0
11,/html/body/div[4]/main/div/div/div/div/div/div/div/form/div[2]/div,/html/body/div[]/main/div/div/div/div/div/div/div/form/div[]/div,14,306,252,142.0,738.0,35,2,0,0,0,0,0,0,0,0
12,/html/body/div[4]/footer/div[2],/html/body/div[]/footer/div[],5,0,596,447.0,1349.0,127,3,0,0,0,0,0,0,0,0
13,/html/body/div[4]/footer/div[2]/div,/html/body/div[]/footer/div[]/div,6,0,596,442.0,1349.0,126,1,0,0,0,0,0,0,0,0
14,/html/body/div[4]/footer/div[2]/div/div,/html/body/div[]/footer/div[]/div/div,7,74,596,442.0,1200.0,125,1,0,15,0,15,0,74.5,0,74.5
15,/html/body/div[4]/footer/div[2]/div/div/div,/html/body/div[]/footer/div[]/div/div/div,8,74,596,442.0,1200.0,124,1,0,0,0,0,0,-15,0,-15
16,/html/body/div[4]/footer/div[2]/div/div/div/div[1],/html/body/div[]/footer/div[]/div/div/div/div[],9,874,596,442.0,400.0,53,1,20,24,20,24,0,0,0,0
17,/html/body/div[4]/footer/div[2]/div/div/div/div[1]/div,/html/body/div[]/footer/div[]/div/div/div/div[]/div,10,884,616,402.0,382.0,52,1,0,0,0,0,0,-15,0,-15
18,/html/body/div[4]/footer/div[2]/div/div/div/div[1]/div/div[1],/html/body/div[]/footer/div[]/div/div/div/div[]/div/div[],11,884,616,101.0,382.0,7,1,0,15,0,15,0,0,0,0
19,/html/body/div[4]/footer/div[2]/div/div/div/div[1]/div/div[2],/html/body/div[]/footer/div[]/div/div/div/div[]/div/div[],11,884,717,103.0,382.0,10,1,0,15,0,15,0,0,0,0
20,/html/body/div[4]/footer/div[2]/div/div/div/div[1]/div/div[3],/html/body/div[]/footer/div[]/div/div/div/div[]/div/div[],11,884,820,97.0,382.0,21,1,0,15,0,15,0,0,0,0
21,/html/body/div[4]/footer/div[2]/div/div/div/div[1]/div/div[4],/html/body/div[]/footer/div[]/div/div/div/div[]/div/div[],11,884,917,101.0,382.0,10,1,0,15,0,15,0,0,0,0
22,/html/body/div[4]/footer/div[2]/div/div/div/div[1]/div/div[4]/div,/html/body/div[]/footer/div[]/div/div/div/div[]/div/div[]/div,12,898,917,76.0,352.0,9,1,0,0,0,0,0,0,25,0
23,/html/body/div[4]/footer/div[2]/div/div/div/div[2],/html/body/div[]/footer/div[]/div/div/div/div[],9,74,596,442.0,800.0,68,2,20,15,20,15,0,0,0,0
24,/html/body/div[4]/footer/div[2]/div/div/div/div[2]/div,/html/body/div[]/footer/div[]/div/div/div/div[]/div,10,74,616,331.0,800.0,67,1,0,0,0,0,0,-15,0,-15
25,/html/body/div[4]/footer/div[2]/div/div/div/div[2]/div/div[1],/html/body/div[]/footer/div[]/div/div/div/div[]/div/div[],11,74,616,245.0,266.66668701171875,19,1,0,15,0,15,0,0,0,0
26,/html/body/div[4]/footer/div[2]/div/div/div/div[2]/div/div[2],/html/body/div[]/footer/div[]/div/div/div/div[]/div/div[],11,341,616,245.0,266.6666564941406,19,1,0,15,0,15,0,0,0,0
27,/html/body/div[4]/footer/div[2]/div/div/div/div[2]/div/div[3],/html/body/div[]/footer/div[]/div/div/div/div[]/div/div[],11,608,616,149.0,266.66668701171875,11,1,0,15,0,15,0,0,0,0
