,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left
0,/html/body/div[2],/html/body/div[],3,0,0,97.0,1349.0,393,1,0,16,0,16,0,0,0,0
1,/html/body/div[4]/div[3],/html/body/div[]/div[],4,16,128,1886.5,205.0,697,1,0,0,0,0,0,0,0,0
2,/html/body/div[4]/div[3]/ul/li[1]/ul/li[1]/div[2],/html/body/div[]/div[]/ul/li[]/ul/li[]/div[],9,16,160,388.0,212.0,139,2,0,0,0,0,0,0,0,0
3,/html/body/div[4]/div[3]/ul/li[1]/ul/li[2]/ul/li/div[2],/html/body/div[]/div[]/ul/li[]/ul/li[]/ul/li/div[],11,16,604,161.5,212.0,80,2,0,0,0,0,0,0,0,0
4,/html/body/div[4]/div[3]/ul/li[1]/ul/li[3]/div[2],/html/body/div[]/div[]/ul/li[]/ul/li[]/div[],9,16,819,108.5,212.0,50,2,0,0,0,0,0,0,0,0
5,/html/body/div[4]/div[3]/ul/li[1]/ul/li[4]/div[2],/html/body/div[]/div[]/ul/li[]/ul/li[]/div[],9,16,977,132.0,212.0,68,2,0,0,0,0,0,0,0,0
6,/html/body/div[4]/div[3]/ul/li[1]/ul/li[5]/div[2],/html/body/div[]/div[]/ul/li[]/ul/li[]/div[],9,16,1162,108.5,212.0,47,2,0,0,0,0,0,0,0,0
7,/html/body/div[4]/div[3]/ul/li[1]/ul/li[6]/div[2],/html/body/div[]/div[]/ul/li[]/ul/li[]/div[],9,16,1324,196.5,212.0,108,2,0,0,0,0,0,0,0,0
8,/html/body/div[4]/div[3]/ul/li[1]/ul/li[7]/div[2],/html/body/div[]/div[]/ul/li[]/ul/li[]/div[],9,16,1573,108.5,212.0,50,2,0,0,0,0,0,0,0,0
9,/html/body/div[4]/div[3]/ul/li[1]/ul/li[8]/div[2],/html/body/div[]/div[]/ul/li[]/ul/li[]/div[],9,16,1734,188.0,212.0,95,2,0,0,0,0,0,0,0,0
10,/html/body/div[4]/div[4],/html/body/div[]/div[],4,237,128,11348.7001953125,790.0,3484,6,0,0,0,0,0,0,16,16
11,/html/body/div[4]/div[4]/div[1],/html/body/div[]/div[]/div[],5,237,128,97.0,790.0,428,1,0,0,0,0,0,0,0,0
12,/html/body/div[4]/div[4]/div[1]/div,/html/body/div[]/div[]/div[]/div,6,237,128,97.0,790.0,427,1,8,16,14,16,0,0,0,0
13,/html/body/div[4]/div[4]/div[2],/html/body/div[]/div[]/div[],5,237,225,11241.7001953125,790.0,3046,1,0,8,0,8,0,0,10,0
14,/html/body/div[4]/div[4]/div[2]/div[1],/html/body/div[]/div[]/div[]/div[],6,246,225,11240.7001953125,772.0,3042,2,0,0,0,0,0,0,0,0
15,/html/body/div[4]/div[4]/div[2]/div[1]/div[2],/html/body/div[]/div[]/div[]/div[]/div[],7,246,226,11239.7001953125,772.0,3006,2,0,0,0,0,0,0,0,0
16,/html/body/div[4]/div[4]/div[2]/div[1]/div[2]/ul/li[1]/div,/html/body/div[]/div[]/div[]/div[]/div[]/ul/li[]/div,10,254,236,162.5,756.0,31,1,0,0,0,0,0,0,0,0
17,/html/body/div[4]/div[4]/div[2]/div[1]/div[2]/ul/li[1]/div/div[2],/html/body/div[]/div[]/div[]/div[]/div[]/ul/li[]/div/div[],11,481,236,162.5,529.0,21,1,0,0,0,16,0,0,0,0
18,/html/body/div[4]/div[4]/div[2]/div[1]/div[2]/ul/li[1]/div/div[2]/div[3],/html/body/div[]/div[]/div[]/div[]/div[]/ul/li[]/div/div[]/div[],12,497,316,83.0,513.0,15,1,0,0,0,0,16,0,0,0
19,/html/body/div[4]/div[4]/div[2]/div[1]/div[2]/ul/li[2]/div,/html/body/div[]/div[]/div[]/div[]/div[]/ul/li[]/div,10,254,420,178.5,756.0,58,1,0,0,0,0,0,0,0,0
20,/html/body/div[4]/div[4]/div[2]/div[1]/div[2]/ul/li[2]/div/div[2],/html/body/div[]/div[]/div[]/div[]/div[]/ul/li[]/div/div[],11,481,420,178.5,529.0,51,1,0,0,0,16,0,0,0,0
21,/html/body/div[4]/div[4]/div[2]/div[1]/div[2]/ul/li[2]/div/div[2]/div[4],/html/body/div[]/div[]/div[]/div[]/div[]/ul/li[]/div/div[]/div[],12,497,515,83.0,513.0,13,1,0,0,0,0,16,0,0,0
22,/html/body/div[4]/div[4]/div[2]/div[1]/div[2]/ul/li[3]/div,/html/body/div[]/div[]/div[]/div[]/div[]/ul/li[]/div,10,254,619,157.6999969482422,756.0,58,1,0,0,0,0,0,0,0,0
23,/html/body/div[4]/div[4]/div[2]/div[1]/div[2]/ul/li[3]/div/div[2],/html/body/div[]/div[]/div[]/div[]/div[]/ul/li[]/div/div[],11,481,619,157.6999969482422,529.0,51,1,0,0,0,16,0,0,0,0
24,/html/body/div[4]/div[4]/div[2]/div[1]/div[2]/ul/li[3]/div/div[2]/div[4],/html/body/div[]/div[]/div[]/div[]/div[]/ul/li[]/div/div[]/div[],12,497,694,83.0,513.0,13,1,0,0,0,0,16,0,0,0
25,/html/body/div[4]/div[4]/div[2]/div[1]/div[2]/ul/li[4]/div,/html/body/div[]/div[]/div[]/div[]/div[]/ul/li[]/div,10,254,798,162.5,756.0,49,1,0,0,0,0,0,0,0,0
26,/html/body/div[4]/div[4]/div[2]/div[1]/div[2]/ul/li[4]/div/div[2],/html/body/div[]/div[]/div[]/div[]/div[]/ul/li[]/div/div[],11,481,798,162.5,529.0,39,1,0,0,0,16,0,0,0,0
27,/html/body/div[4]/div[4]/div[2]/div[1]/div[2]/ul/li[4]/div/div[2]/div[3],/html/body/div[]/div[]/div[]/div[]/div[]/ul/li[]/div/div[]/div[],12,497,877,83.0,513.0,32,1,0,0,0,0,16,0,0,0
28,/html/body/div[4]/div[4]/div[2]/div[1]/div[2]/ul/li[5]/div,/html/body/div[]/div[]/div[]/div[]/div[]/ul/li[]/div,10,254,981,214.6000061035156,756.0,38,1,0,0,0,0,0,0,0,0
29,/html/body/div[4]/div[4]/div[2]/div[1]/div[2]/ul/li[5]/div/div[2],/html/body/div[]/div[]/div[]/div[]/div[]/ul/li[]/div/div[],11,481,981,214.6000061035156,529.0,28,1,0,0,0,16,0,0,0,0
30,/html/body/div[4]/div[4]/div[2]/div[1]/div[2]/ul/li[5]/div/div[2]/div[4],/html/body/div[]/div[]/div[]/div[]/div[]/ul/li[]/div/div[]/div[],12,497,1062,134.0,513.0,21,1,0,0,0,0,16,0,0,0
31,/html/body/div[4]/div[4]/div[2]/div[1]/div[2]/ul/li[6]/div,/html/body/div[]/div[]/div[]/div[]/div[]/ul/li[]/div,10,254,1217,141.6999969482422,756.0,27,1,0,0,0,0,0,0,0,0
32,/html/body/div[4]/div[4]/div[2]/div[1]/div[2]/ul/li[6]/div/div[2],/html/body/div[]/div[]/div[]/div[]/div[]/ul/li[]/div/div[],11,481,1217,141.6999969482422,529.0,17,1,0,0,0,16,0,0,0,0
33,/html/body/div[4]/div[4]/div[2]/div[1]/div[2]/ul/li[6]/div/div[2]/div[3],/html/body/div[]/div[]/div[]/div[]/div[]/ul/li[]/div/div[]/div[],12,497,1276,83.0,513.0,11,1,0,0,0,0,16,0,0,0
34,/html/body/div[4]/div[4]/div[2]/div[1]/div[2]/ul/li[7]/div,/html/body/div[]/div[]/div[]/div[]/div[]/ul/li[]/div,10,254,1380,233.6999969482422,756.0,59,1,0,0,0,0,0,0,0,0
35,/html/body/div[4]/div[4]/div[2]/div[1]/div[2]/ul/li[7]/div/div[2],/html/body/div[]/div[]/div[]/div[]/div[]/ul/li[]/div/div[],11,481,1380,233.6999969482422,529.0,47,1,0,0,0,16,0,0,0,0
36,/html/body/div[4]/div[4]/div[2]/div[1]/div[2]/ul/li[7]/div/div[2]/div[4],/html/body/div[]/div[]/div[]/div[]/div[]/ul/li[]/div/div[]/div[],12,497,1460,153.0,513.0,24,1,0,0,0,0,16,0,0,0
37,/html/body/div[4]/div[4]/div[2]/div[1]/div[2]/ul/li[8]/div,/html/body/div[]/div[]/div[]/div[]/div[]/ul/li[]/div,10,254,1634,122.6999969482422,756.0,28,1,0,0,0,0,0,0,0,0
38,/html/body/div[4]/div[4]/div[2]/div[1]/div[2]/ul/li[8]/div/div[2],/html/body/div[]/div[]/div[]/div[]/div[]/ul/li[]/div/div[],11,481,1634,122.6999969482422,529.0,18,1,0,0,0,16,0,0,0,0
39,/html/body/div[4]/div[4]/div[2]/div[1]/div[2]/ul/li[9]/div,/html/body/div[]/div[]/div[]/div[]/div[]/ul/li[]/div,10,254,1778,160.70001220703125,756.0,32,1,0,0,0,0,0,0,0,0
40,/html/body/div[4]/div[4]/div[2]/div[1]/div[2]/ul/li[9]/div/div[2],/html/body/div[]/div[]/div[]/div[]/div[]/ul/li[]/div/div[],11,481,1778,160.70001220703125,529.0,20,1,0,0,0,16,0,0,0,0
41,/html/body/div[4]/div[4]/div[2]/div[1]/div[2]/ul/li[9]/div/div[2]/div[3],/html/body/div[]/div[]/div[]/div[]/div[]/ul/li[]/div/div[]/div[],12,497,1837,102.0,513.0,14,1,0,0,0,0,16,0,0,0
42,/html/body/div[4]/div[4]/div[2]/div[1]/div[2]/ul/li[10]/div,/html/body/div[]/div[]/div[]/div[]/div[]/ul/li[]/div,10,254,1960,122.6999969482422,756.0,24,1,0,0,0,0,0,0,0,0
43,/html/body/div[4]/div[4]/div[2]/div[1]/div[2]/ul/li[10]/div/div[2],/html/body/div[]/div[]/div[]/div[]/div[]/ul/li[]/div/div[],11,481,1960,122.6999969482422,529.0,14,1,0,0,0,16,0,0,0,0
44,/html/body/div[4]/div[4]/div[2]/div[1]/div[2]/ul/li[11]/div,/html/body/div[]/div[]/div[]/div[]/div[]/ul/li[]/div,10,254,2103,122.6999969482422,756.0,24,1,0,0,0,0,0,0,0,0
45,/html/body/div[4]/div[4]/div[2]/div[1]/div[2]/ul/li[11]/div/div[2],/html/body/div[]/div[]/div[]/div[]/div[]/ul/li[]/div/div[],11,481,2103,122.6999969482422,529.0,14,1,0,0,0,16,0,0,0,0
46,/html/body/div[4]/div[4]/div[2]/div[1]/div[2]/ul/li[12]/div,/html/body/div[]/div[]/div[]/div[]/div[]/ul/li[]/div,10,254,2247,181.5,756.0,105,1,0,0,0,0,0,0,0,0
47,/html/body/div[4]/div[4]/div[2]/div[1]/div[2]/ul/li[12]/div/div[2],/html/body/div[]/div[]/div[]/div[]/div[]/ul/li[]/div/div[],11,481,2247,181.5,529.0,93,1,0,0,0,16,0,0,0,0
