,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left,is_search_result
0,/html/body/div[2],/html/body/div[],3,0,0,4361.64990234375,1349.0,2606,1,0,0,0,0,0,0,0,0,False
1,/html/body/div[2]/div[1],/html/body/div[]/div[],4,0,0,4361.64990234375,1349.0,2604,0,0,0,0,0,0,0,0,0,False
2,/html/body/div[2]/div[1]/div,/html/body/div[]/div[]/div,5,0,0,4361.64990234375,1349.0,2603,1,0,0,0,0,0,0,0,0,False
3,/html/body/div[2]/div[1]/div/div,/html/body/div[]/div[]/div/div,6,0,0,4361.64990234375,1349.0,2602,1,0,0,0,0,0,0,0,0,False
4,/html/body/div[2]/div[1]/div/div/div,/html/body/div[]/div[]/div/div/div,7,24,104,4003.25,1301.0,2436,1,0,0,0,0,0,24,0,24,False
5,/html/body/div[2]/div[1]/div/div/div/div,/html/body/div[]/div[]/div/div/div/div,8,74,104,4003.25,1200.0,2435,1,0,0,0,0,0,50.5,0,50.5,False
6,/html/body/div[2]/div[1]/div/div/div/div/div[1],/html/body/div[]/div[]/div/div/div/div/div[],9,74,116,3991.25,1016.0,2430,1,0,0,0,0,12,0,0,0,False
7,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[1],/html/body/div[]/div[]/div/div/div/div/div[]/main/div[],11,74,172,84.0,1016.0,13,1,8,0,0,0,0,0,0,0,False
8,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[1]/div,/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div,12,74,180,76.0,1016.0,12,1,0,0,0,0,0,0,0,0,False
9,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[1]/div/div,/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div/div,13,74,180,76.0,1016.0,11,1,16,16,16,0,0,0,0,0,False
10,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[2],/html/body/div[]/div[]/div/div/div/div/div[]/main/div[],11,74,256,3515.25,1016.0,2039,1,12,0,12,0,0,0,0,0,False
11,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[2]/div,/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div,12,74,268,3491.25,1016.0,2038,1,0,0,0,0,0,0,0,0,False
12,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[2]/div/div[1],/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div/div[],13,74,268,3491.25,254.0,607,1,0,0,0,0,0,0,0,0,False
13,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[2]/div/div[1]/section/div,/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div/div[]/section/div,15,74,268,150.85000610351562,254.0,10,0,0,0,0,0,0,0,0,0,False
14,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[2]/div/div[1]/section/div/div,/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div/div[]/section/div/div,16,74,268,150.85000610351562,254.0,9,1,0,0,0,0,0,0,0,0,False
15,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[2]/div/div[1]/section/div/div/section/figure/div,/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div/div[]/section/div/div/section/figure/div,19,74,268,108.85000610351562,254.0,1,1,0,0,0,0,0,0,0,0,False
