,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left
0,/html/body/div[2],/html/body/div[],3,0,0,4275.533203125,1349.0,2340,1,0,0,0,0,0,0,0,0
1,/html/body/div[2]/div[1],/html/body/div[]/div[],4,0,0,4275.533203125,1349.0,2338,0,0,0,0,0,0,0,0,0
2,/html/body/div[2]/div[1]/div,/html/body/div[]/div[]/div,5,0,0,4275.533203125,1349.0,2337,1,0,0,0,0,0,0,0,0
3,/html/body/div[2]/div[1]/div/div,/html/body/div[]/div[]/div/div,6,0,0,4275.533203125,1349.0,2336,1,0,0,0,0,0,0,0,0
4,/html/body/div[2]/div[1]/div/div/header/div[1],/html/body/div[]/div[]/div/div/header/div[],8,0,556,130.0,1349.0,8,1,30,30,30,30,0,0,0,0
5,/html/body/div[2]/div[1]/div/div/div,/html/body/div[]/div[]/div/div/div,7,24,104,3887.533447265625,1301.0,2162,1,0,0,0,0,0,24,0,24
6,/html/body/div[2]/div[1]/div/div/div/div,/html/body/div[]/div[]/div/div/div/div,8,74,104,3887.533447265625,1200.0,2161,1,0,0,0,0,0,50.5,0,50.5
7,/html/body/div[2]/div[1]/div/div/div/div/div[1],/html/body/div[]/div[]/div/div/div/div/div[],9,74,116,3875.533447265625,1200.0,2156,1,0,0,0,0,12,0,0,0
8,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[1],/html/body/div[]/div[]/div/div/div/div/div[]/main/div[],11,74,172,84.0,1200.0,13,1,8,0,0,0,0,0,0,0
9,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[1]/div,/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div,12,74,180,76.0,1200.0,12,1,0,0,0,0,0,0,0,0
10,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[1]/div/div,/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div/div,13,74,180,76.0,1200.0,11,1,16,16,16,0,0,0,0,0
11,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[2],/html/body/div[]/div[]/div/div/div/div/div[]/main/div[],11,74,256,3727.533447265625,1200.0,2034,1,12,0,12,0,0,0,0,0
12,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[2]/div,/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div,12,74,268,3703.533447265625,1200.0,2033,1,0,0,0,0,0,0,0,0
13,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[2]/div/div[1],/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div/div[],13,74,268,3703.533447265625,300.0,606,1,0,0,0,0,0,0,0,0
14,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[2]/div/div[1]/section/div,/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div/div[]/section/div,15,74,268,170.56666564941406,300.0,10,0,0,0,0,0,0,0,0,0
15,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[2]/div/div[1]/section/div/div,/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div/div[]/section/div/div,16,74,268,170.56666564941406,300.0,9,1,0,0,0,0,0,0,0,0
16,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[2]/div/div[1]/section/div/div/section/figure/div,/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div/div[]/section/div/div/section/figure/div,19,74,268,128.56666564941406,300.0,1,1,0,0,0,0,0,0,0,0
17,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[2]/div/div[1]/section/form/fieldset[2]/div,/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div/div[]/section/form/fieldset[]/div,17,74,683,180.0,300.0,31,1,0,0,0,0,-4,0,0,0
18,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[2]/div/div[1]/section/form/fieldset[2]/div/div,/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div/div[]/section/form/fieldset[]/div/div,18,74,683,180.0,300.0,30,1,0,0,0,0,0,0,0,0
19,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[2]/div/div[1]/section/form/fieldset[4]/div,/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div/div[]/section/form/fieldset[]/div,17,74,1007,180.0,300.0,31,1,0,0,0,0,-4,0,0,0
20,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[2]/div/div[1]/section/form/fieldset[4]/div/div,/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div/div[]/section/form/fieldset[]/div/div,18,74,1007,180.0,300.0,30,1,0,0,0,0,0,0,0,0
21,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[2]/div/div[1]/section/form/fieldset[5]/div,/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div/div[]/section/form/fieldset[]/div,17,74,1233,144.0,300.0,27,1,0,0,0,0,-4,0,0,0
22,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[2]/div/div[1]/section/form/fieldset[5]/div/fieldset/div,/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div/div[]/section/form/fieldset[]/div/fieldset/div,19,74,1233,144.0,300.0,24,1,0,0,0,0,0,0,0,0
23,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[2]/div/div[1]/section/form/fieldset[8]/div,/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div/div[]/section/form/fieldset[]/div,17,74,1655,288.0,300.0,49,1,0,0,0,0,-4,0,0,0
24,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[2]/div/div[1]/section/form/fieldset[8]/div/div,/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div/div[]/section/form/fieldset[]/div/div,18,74,1655,288.0,300.0,48,1,0,0,0,0,0,0,0,0
25,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[2]/div/div[1]/section/form/fieldset[11]/div,/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div/div[]/section/form/fieldset[]/div,17,74,2169,396.0,300.0,127,1,0,0,0,0,-4,0,0,0
26,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[2]/div/div[1]/section/form/fieldset[11]/div/div[1],/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div/div[]/section/form/fieldset[]/div/div[],18,74,2169,360.0,300.0,124,2,0,0,0,0,0,0,0,0
27,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[2]/div/div[1]/section/form/fieldset[11]/div/div[1]/div,/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div/div[]/section/form/fieldset[]/div/div[]/div,19,74,2169,720.0,300.0,123,1,0,0,0,0,0,0,0,0
28,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[2]/div/div[1]/section/form/fieldset[11]/div/div[1]/div/fieldset/div,/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div/div[]/section/form/fieldset[]/div/div[]/div/fieldset/div,21,74,2169,720.0,300.0,120,1,0,0,0,0,0,0,0,0
29,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[2]/div/div[1]/section/form/fieldset[13]/div,/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div/div[]/section/form/fieldset[]/div,17,74,2693,396.0,300.0,83,1,0,0,0,0,-4,0,0,0
30,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[2]/div/div[1]/section/form/fieldset[13]/div/div[1],/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div/div[]/section/form/fieldset[]/div/div[],18,74,2693,360.0,300.0,80,2,0,0,0,0,0,0,0,0
31,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[2]/div/div[1]/section/form/fieldset[13]/div/div[1]/div,/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div/div[]/section/form/fieldset[]/div/div[]/div,19,74,2693,488.0,300.0,79,1,0,0,0,0,0,0,0,0
32,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[2]/div/div[1]/section/form/fieldset[13]/div/div[1]/div/div,/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div/div[]/section/form/fieldset[]/div/div[]/div/div,20,74,2693,488.0,300.0,78,1,0,0,0,0,0,0,0,0
33,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[2]/div/div[1]/section/form/fieldset[14]/div,/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div/div[]/section/form/fieldset[]/div,17,74,3135,108.0,300.0,19,1,0,0,0,0,-4,0,0,0
34,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[2]/div/div[1]/section/form/fieldset[14]/div/div,/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div/div[]/section/form/fieldset[]/div/div,18,74,3135,108.0,300.0,18,1,0,0,0,0,0,0,0,0
35,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[2]/div/div[1]/section/form/fieldset[15]/div,/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div/div[]/section/form/fieldset[]/div,17,74,3289,152.0,300.0,15,1,0,0,0,0,-4,0,0,0
36,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[2]/div/div[1]/section/form/fieldset[15]/div/div,/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div/div[]/section/form/fieldset[]/div/div,18,74,3289,152.0,300.0,14,1,0,0,0,0,0,0,0,0
37,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[2]/div/div[1]/section/form/fieldset[15]/div/div/div[2],/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div/div[]/section/form/fieldset[]/div/div/div[],19,74,3357,84.0,300.0,6,1,0,0,0,0,0,0,0,0
38,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[2]/div/div[1]/section/form/fieldset[15]/div/div/div[2]/div,/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div/div[]/section/form/fieldset[]/div/div/div[]/div,20,68,3357,84.0,306.0,5,1,8,0,8,0,0,0,0,-6
39,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[2]/div/div[2],/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div/div[],13,374,268,3703.533447265625,900.0,1425,1,0,0,0,24,0,0,0,0
40,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[2]/div/div[2]/section[2]/ol/li[1]/div,/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div/div[]/section[]/ol/li[]/div,17,398,332,203.25,876.0,94,1,0,0,0,0,0,0,0,0
41,/html/body/div[2]/div[1]/div/div/div/div/div[1]/main/div[2]/div/div[2]/section[2]/ol/li[1]/div/section/div,/html/body/div[]/div[]/div/div/div/div/div[]/main/div[]/div/div[]/section[]/ol/li[]/div/section/div,19,398,332,203.25,292.1499938964844,43,1,0,0,0,0,0,0,0,0
