,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left
0,/html/body/div[1]/div/div,/html/body/div[]/div/div,5,0,0,686.0,1366.0,14,2,0,0,0,0,0,0,0,0
1,/html/body/div[1]/div/div/div,/html/body/div[]/div/div/div,6,298,121,443.5,770.0,13,2,0,0,0,0,0,0,0,0
2,/html/body/div[1]/div/div/div/div[1],/html/body/div[]/div/div/div/div[],7,298,121,366.5,770.0,7,1,15,30,15,30,0,0,0,0
3,/html/body/div[1]/div/div/div/div[1]/div[2],/html/body/div[]/div/div/div/div[]/div[],8,328,195,277.5,710.0,3,1,0,0,0,0,0,0,0,0
4,/html/body/div[1]/div/div/div/div[2],/html/body/div[]/div/div/div/div[],7,298,488,77.0,770.0,4,1,13,30,13,30,0,0,0,0
5,/html/body/div[3],/html/body/div[],3,184,100,200.0,980.0,5,1,0,0,0,0,10,184.5,10,184.5
6,/html/body/div[3]/div,/html/body/div[]/div,4,184,100,200.0,980.0,4,2,0,0,0,0,0,0,0,0
7,/html/body/div[5],/html/body/div[],3,184,310,9697.8837890625,980.0,1947,1,0,0,0,0,0,184.5,0,184.5
8,/html/body/div[5]/table/tbody/tr/td[1]/div,/html/body/div[]/table/tbody/tr/td[]/div,8,186,316,1261.5999755859375,150.0,114,1,0,0,0,0,0,0,0,0
9,/html/body/div[5]/table/tbody/tr/td[1]/div/div[1],/html/body/div[]/table/tbody/tr/td[]/div/div[],9,186,316,98.1999969482422,150.0,8,1,0,0,10,0,0,0,0,0
10,/html/body/div[5]/table/tbody/tr/td[1]/div/div[2],/html/body/div[]/table/tbody/tr/td[]/div/div[],9,186,419,434.2000122070313,150.0,40,1,0,0,10,0,0,0,0,0
11,/html/body/div[5]/table/tbody/tr/td[1]/div/div[3],/html/body/div[]/table/tbody/tr/td[]/div/div[],9,186,858,98.20001220703124,150.0,8,1,0,0,10,0,0,0,0,0
12,/html/body/div[5]/table/tbody/tr/td[1]/div/div[4],/html/body/div[]/table/tbody/tr/td[]/div/div[],9,186,962,182.1999969482422,150.0,16,1,0,0,10,0,0,0,0,0
13,/html/body/div[5]/table/tbody/tr/td[1]/div/div[5],/html/body/div[]/table/tbody/tr/td[]/div/div[],9,186,1149,98.1999969482422,150.0,8,1,0,0,10,0,0,0,0,0
14,/html/body/div[5]/table/tbody/tr/td[1]/div/div[6],/html/body/div[]/table/tbody/tr/td[]/div/div[],9,186,1252,140.1999969482422,150.0,12,1,0,0,10,0,0,0,0,0
15,/html/body/div[5]/table/tbody/tr/td[1]/div/div[7],/html/body/div[]/table/tbody/tr/td[]/div/div[],9,186,1397,98.1999969482422,150.0,8,1,0,0,10,0,0,0,0,0
16,/html/body/div[5]/table/tbody/tr/td[1]/div/div[8],/html/body/div[]/table/tbody/tr/td[]/div/div[],9,186,1500,77.20001220703125,150.0,6,1,0,0,10,0,0,0,0,0
17,/html/body/div[5]/table/tbody/tr/td[2]/div[1],/html/body/div[]/table/tbody/tr/td[]/div[],8,336,311,9645.8837890625,827.0,1824,1,5,8,30,5,0,0,0,0
18,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4],/html/body/div[]/table/tbody/tr/td[]/div[]/div[],9,342,354,9573.033203125,495.0,1795,1,0,0,0,0,0,0,0,0
19,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[],10,342,433,9476.7998046875,495.0,1776,1,0,0,0,0,0,0,0,0
20,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[2],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[],11,342,433,165.0,495.0,31,1,0,0,0,0,30,0,0,0
21,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[2]/div[2],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[],12,342,433,165.0,495.0,29,1,10,0,10,5,0,0,0,0
22,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[2]/div[2]/div,/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[]/div,13,406,443,145.0,430.0,28,2,0,0,0,0,0,0,0,60
23,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[2]/div[2]/div/div[2],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[]/div/div[],14,486,443,145.0,301.0,22,1,0,0,0,0,0,0,0,20
24,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[3],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[],11,342,628,181.5,495.0,29,1,0,0,0,0,30,0,0,0
25,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[3]/div[2],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[],12,342,628,181.5,495.0,27,1,10,0,10,5,0,0,0,0
