,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left,is_search_result
0,/html/body/div[1],/html/body/div[],3,0,0,4931.216796875,1366.0,5650,2,0,0,0,0,0,0,0,0,False
1,/html/body/div[1]/div[1],/html/body/div[]/div[],4,0,0,4931.216796875,1366.0,5647,2,0,0,0,0,0,0,0,0,False
2,/html/body/div[1]/div[1]/div[2]/div[2]/div/div[2]/nav[2]/div,/html/body/div[]/div[]/div[]/div[]/div/div[]/nav[]/div,10,0,127,270.0,240.0,24,1,8,8,8,8,0,0,0,0,False
3,/html/body/div[1]/div[1]/div[2]/div[2]/div/div[2]/nav[3]/div[2],/html/body/div[]/div[]/div[]/div[]/div/div[]/nav[]/div[],10,0,398,228.0,240.0,22,1,8,8,8,8,0,0,0,0,False
4,/html/body/div[1]/div[1]/main/div,/html/body/div[]/div[]/main/div,6,69,62,4910.5166015625,1297.0,4589,2,0,0,0,0,0,0,0,0,False
5,/html/body/div[1]/div[1]/main/div/div[2],/html/body/div[]/div[]/main/div/div[],7,69,62,4910.5166015625,1297.0,4550,2,0,0,0,0,0,0,0,0,False
6,/html/body/div[1]/div[1]/main/div/div[2]/div[1],/html/body/div[]/div[]/main/div/div[]/div[],8,69,62,126.6999969482422,1340.0,444,4,0,0,0,0,0,0,0,0,False
7,/html/body/div[1]/div[1]/main/div/div[2]/div[1]/section/div,/html/body/div[]/div[]/main/div/div[]/div[]/section/div,10,69,62,126.6999969482422,1340.0,161,2,20,0,20,0,0,0,0,0,False
8,/html/body/div[1]/div[1]/main/div/div[2]/div[1]/section/div/div[1],/html/body/div[]/div[]/main/div/div[]/div[]/section/div/div[],11,69,82,85.69999694824219,1340.0,154,2,0,30,0,30,0,0,0,0,False
9,/html/body/div[1]/div[1]/main/div/div[2]/div[1]/section/div/div[1]/div,/html/body/div[]/div[]/main/div/div[]/div[]/section/div/div[]/div,12,99,82,85.69999694824219,1280.0,153,1,0,0,0,0,0,0,0,0,False
