,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left,is_search_result
0,/html/body/div[1],/html/body/div[],3,34,0,10807.599609375,1280.0,2240,1,0,0,0,0,0,0,0,0,False
1,/html/body/div[1]/div[1],/html/body/div[]/div[],4,34,0,10807.599609375,980.0,2232,1,0,0,0,0,0,0,0,0,False
2,/html/body/div[1]/div[1]/div[1],/html/body/div[]/div[]/div[],5,34,0,90.0,980.0,1,1,0,0,0,0,0,0,0,0,False
3,/html/body/div[1]/div[1]/div[1]/div,/html/body/div[]/div[]/div[]/div,6,34,0,90.0,980.0,0,2,0,0,0,0,0,0,0,0,False
4,/html/body/div[1]/div[1]/div[5],/html/body/div[]/div[]/div[],5,42,168,10291.599609375,726.0,2014,1,0,0,0,0,4,0,0,7,False
5,/html/body/div[1]/div[1]/div[5]/div[1],/html/body/div[]/div[]/div[]/div[],6,42,168,149.0,726.0,128,1,0,0,0,0,0,0,0,0,False
6,/html/body/div[1]/div[1]/div[5]/div[1]/div[1],/html/body/div[]/div[]/div[]/div[]/div[],7,42,168,149.0,726.0,117,1,12,16,1,16,0,0,0,0,False
7,/html/body/div[1]/div[1]/div[5]/div[1]/div[1]/div,/html/body/div[]/div[]/div[]/div[]/div[]/div,8,58,180,123.0,694.0,113,1,0,0,0,0,0,0,13,0,False
8,/html/body/div[1]/div[1]/div[5]/div[1]/div[1]/div/div[2],/html/body/div[]/div[]/div[]/div[]/div[]/div/div[],9,58,221,82.0,694.0,25,1,0,0,0,0,0,0,0,0,False
9,/html/body/div[1]/div[1]/div[5]/div[1]/div[1]/div/div[2]/div,/html/body/div[]/div[]/div[]/div[]/div[]/div/div[]/div,10,58,221,82.0,694.0,23,2,0,0,0,0,0,0,0,0,False
10,/html/body/div[1]/div[1]/div[5]/div[2],/html/body/div[]/div[]/div[]/div[],6,42,317,10092.599609375,726.0,1875,1,0,0,0,0,0,0,0,0,False
11,/html/body/div[1]/div[1]/div[5]/div[2]/div[4],/html/body/div[]/div[]/div[]/div[]/div[],7,42,395,332.0,726.0,65,1,0,0,0,0,0,0,0,0,True
12,/html/body/div[1]/div[1]/div[5]/div[2]/div[4]/div[2],/html/body/div[]/div[]/div[]/div[]/div[]/div[],8,42,419,266.0,724.0,30,1,16,16,16,16,0,0,0,0,False
13,/html/body/div[1]/div[1]/div[5]/div[2]/div[4]/div[2]/div[1],/html/body/div[]/div[]/div[]/div[]/div[]/div[]/div[],9,58,435,234.0,692.0,28,1,0,0,0,0,0,0,0,0,False
14,/html/body/div[1]/div[1]/div[5]/div[2]/div[4]/div[2]/div[1]/div[1],/html/body/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div[],10,58,435,234.0,516.0,20,1,0,0,0,0,0,0,0,0,False
15,/html/body/div[1]/div[1]/div[5]/div[2]/div[4]/div[2]/div[1]/div[1]/div[3],/html/body/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div[],11,58,516,105.0,516.0,2,1,0,0,0,0,8,0,0,0,False
16,/html/body/div[1]/div[1]/div[5]/div[2]/div[4]/div[2]/div[1]/div[2],/html/body/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div[],10,574,435,234.0,176.0,6,1,0,0,0,0,0,0,0,0,False
17,/html/body/div[1]/div[1]/div[5]/div[2]/div[4]/div[2]/div[1]/div[2]/div,/html/body/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div,11,590,435,120.0,160.0,5,2,0,0,0,0,0,0,0,16,False
18,/html/body/div[1]/div[1]/div[5]/div[2]/div[5],/html/body/div[]/div[]/div[]/div[]/div[],7,42,742,332.0,726.0,66,1,0,0,0,0,0,0,0,0,True
19,/html/body/div[1]/div[1]/div[5]/div[2]/div[5]/div[2],/html/body/div[]/div[]/div[]/div[]/div[]/div[],8,42,766,266.0,724.0,31,1,16,16,16,16,0,0,0,0,False
20,/html/body/div[1]/div[1]/div[5]/div[2]/div[5]/div[2]/div[1],/html/body/div[]/div[]/div[]/div[]/div[]/div[]/div[],9,58,782,234.0,692.0,29,1,0,0,0,0,0,0,0,0,False
21,/html/body/div[1]/div[1]/div[5]/div[2]/div[5]/div[2]/div[1]/div[1],/html/body/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div[],10,58,782,234.0,516.0,21,1,0,0,0,0,0,0,0,0,False
22,/html/body/div[1]/div[1]/div[5]/div[2]/div[5]/div[2]/div[1]/div[1]/div[3],/html/body/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div[],11,58,863,105.0,516.0,3,1,0,0,0,0,8,0,0,0,False
23,/html/body/div[1]/div[1]/div[5]/div[2]/div[5]/div[2]/div[1]/div[2],/html/body/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div[],10,574,782,234.0,176.0,6,1,0,0,0,0,0,0,0,0,False
24,/html/body/div[1]/div[1]/div[5]/div[2]/div[5]/div[2]/div[1]/div[2]/div,/html/body/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div,11,590,782,120.0,160.0,5,2,0,0,0,0,0,0,0,16,False
25,/html/body/div[1]/div[1]/div[5]/div[2]/div[6],/html/body/div[]/div[]/div[]/div[]/div[],7,42,1089,332.0,726.0,68,1,0,0,0,0,0,0,0,0,True
26,/html/body/div[1]/div[1]/div[5]/div[2]/div[6]/div[2],/html/body/div[]/div[]/div[]/div[]/div[]/div[],8,42,1113,266.0,724.0,33,1,16,16,16,16,0,0,0,0,False
27,/html/body/div[1]/div[1]/div[5]/div[2]/div[6]/div[2]/div[1],/html/body/div[]/div[]/div[]/div[]/div[]/div[]/div[],9,58,1129,234.0,692.0,31,1,0,0,0,0,0,0,0,0,False
28,/html/body/div[1]/div[1]/div[5]/div[2]/div[6]/div[2]/div[1]/div[1],/html/body/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div[],10,58,1129,234.0,516.0,23,1,0,0,0,0,0,0,0,0,False
29,/html/body/div[1]/div[1]/div[5]/div[2]/div[6]/div[2]/div[1]/div[1]/div[3],/html/body/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div[],11,58,1210,105.0,516.0,2,1,0,0,0,0,8,0,0,0,False
30,/html/body/div[1]/div[1]/div[5]/div[2]/div[6]/div[2]/div[1]/div[2],/html/body/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div[],10,574,1129,234.0,176.0,6,1,0,0,0,0,0,0,0,0,False
31,/html/body/div[1]/div[1]/div[5]/div[2]/div[6]/div[2]/div[1]/div[2]/div,/html/body/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div,11,590,1129,120.0,160.0,5,2,0,0,0,0,0,0,0,16,False
32,/html/body/div[1]/div[1]/div[5]/div[2]/div[8],/html/body/div[]/div[]/div[]/div[]/div[],7,42,1436,332.0,726.0,66,1,0,0,0,0,0,0,0,0,True
33,/html/body/div[1]/div[1]/div[5]/div[2]/div[8]/div[2],/html/body/div[]/div[]/div[]/div[]/div[]/div[],8,42,1460,266.0,724.0,31,1,16,16,16,16,0,0,0,0,False
34,/html/body/div[1]/div[1]/div[5]/div[2]/div[8]/div[2]/div[1],/html/body/div[]/div[]/div[]/div[]/div[]/div[]/div[],9,58,1476,234.0,692.0,29,1,0,0,0,0,0,0,0,0,False
35,/html/body/div[1]/div[1]/div[5]/div[2]/div[8]/div[2]/div[1]/div[1],/html/body/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div[],10,58,1476,234.0,516.0,21,1,0,0,0,0,0,0,0,0,False
36,/html/body/div[1]/div[1]/div[5]/div[2]/div[8]/div[2]/div[1]/div[1]/div[3],/html/body/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div[],11,58,1557,105.0,516.0,3,1,0,0,0,0,8,0,0,0,False
37,/html/body/div[1]/div[1]/div[5]/div[2]/div[8]/div[2]/div[1]/div[2],/html/body/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div[],10,574,1476,234.0,176.0,6,1,0,0,0,0,0,0,0,0,False
38,/html/body/div[1]/div[1]/div[5]/div[2]/div[8]/div[2]/div[1]/div[2]/div,/html/body/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div,11,590,1476,120.0,160.0,5,2,0,0,0,0,0,0,0,16,False
39,/html/body/div[1]/div[1]/div[5]/div[2]/div[9],/html/body/div[]/div[]/div[]/div[]/div[],7,42,1783,354.0,726.0,60,1,0,0,0,0,0,0,0,0,True
40,/html/body/div[1]/div[1]/div[5]/div[2]/div[9]/div[2],/html/body/div[]/div[]/div[]/div[]/div[]/div[],8,42,1807,288.0,724.0,25,1,16,16,16,16,0,0,0,0,False
41,/html/body/div[1]/div[1]/div[5]/div[2]/div[9]/div[2]/div[1],/html/body/div[]/div[]/div[]/div[]/div[]/div[]/div[],9,58,1823,256.0,692.0,23,1,0,0,0,0,0,0,0,0,False
42,/html/body/div[1]/div[1]/div[5]/div[2]/div[9]/div[2]/div[1]/div[1],/html/body/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div[],10,58,1823,256.0,516.0,20,1,0,0,0,0,0,0,0,0,False
43,/html/body/div[1]/div[1]/div[5]/div[2]/div[9]/div[2]/div[1]/div[1]/div[3],/html/body/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div[],11,58,1926,105.0,516.0,2,1,0,0,0,0,8,0,0,0,False
44,/html/body/div[1]/div[1]/div[5]/div[2]/div[9]/div[2]/div[1]/div[2],/html/body/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div[],10,574,1823,256.0,176.0,1,1,0,0,0,0,0,0,0,0,False
45,/html/body/div[1]/div[1]/div[5]/div[2]/div[9]/div[2]/div[1]/div[2]/div,/html/body/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div,11,590,1823,120.0,160.0,0,2,0,0,0,0,0,0,0,16,False
46,/html/body/div[1]/div[1]/div[5]/div[2]/div[10],/html/body/div[]/div[]/div[]/div[]/div[],7,42,2152,332.0,726.0,60,1,0,0,0,0,0,0,0,0,True
47,/html/body/div[1]/div[1]/div[5]/div[2]/div[10]/div[2],/html/body/div[]/div[]/div[]/div[]/div[]/div[],8,42,2176,266.0,724.0,25,1,16,16,16,16,0,0,0,0,False
48,/html/body/div[1]/div[1]/div[5]/div[2]/div[10]/div[2]/div[1],/html/body/div[]/div[]/div[]/div[]/div[]/div[]/div[],9,58,2192,234.0,692.0,23,1,0,0,0,0,0,0,0,0,False
49,/html/body/div[1]/div[1]/div[5]/div[2]/div[10]/div[2]/div[1]/div[1],/html/body/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div[],10,58,2192,234.0,516.0,20,1,0,0,0,0,0,0,0,0,False
50,/html/body/div[1]/div[1]/div[5]/div[2]/div[10]/div[2]/div[1]/div[1]/div[3],/html/body/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div[],11,58,2273,105.0,516.0,2,1,0,0,0,0,8,0,0,0,False
51,/html/body/div[1]/div[1]/div[5]/div[2]/div[10]/div[2]/div[1]/div[2],/html/body/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div[],10,574,2192,234.0,176.0,1,1,0,0,0,0,0,0,0,0,False
52,/html/body/div[1]/div[1]/div[5]/div[2]/div[10]/div[2]/div[1]/div[2]/div,/html/body/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div,11,590,2192,120.0,160.0,0,2,0,0,0,0,0,0,0,16,False
53,/html/body/div[1]/div[1]/div[5]/div[2]/div[12],/html/body/div[]/div[]/div[]/div[]/div[],7,42,2499,331.6000061035156,726.0,55,1,0,0,0,0,0,0,0,0,True
54,/html/body/div[1]/div[1]/div[5]/div[2]/div[12]/div[2],/html/body/div[]/div[]/div[]/div[]/div[]/div[],8,42,2523,265.6000061035156,724.0,20,1,16,16,16,16,0,0,0,0,False
55,/html/body/div[1]/div[1]/div[5]/div[2]/div[12]/div[2]/div[1],/html/body/div[]/div[]/div[]/div[]/div[]/div[]/div[],9,58,2539,233.6000061035156,692.0,18,1,0,0,0,0,0,0,0,0,False
56,/html/body/div[1]/div[1]/div[5]/div[2]/div[12]/div[2]/div[1]/div[1],/html/body/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div[],10,58,2539,233.6000061035156,516.0,15,1,0,0,0,0,0,0,0,0,False
57,/html/body/div[1]/div[1]/div[5]/div[2]/div[12]/div[2]/div[1]/div[1]/div[3],/html/body/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div[],11,58,2620,105.0,516.0,2,1,0,0,0,0,8,0,0,0,False
