,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left
0,/html/body/div[1],/html/body/div[],3,34,0,11243.2001953125,1280.0,2271,1,0,0,0,0,0,0,0,0
1,/html/body/div[1]/div[1],/html/body/div[]/div[],4,34,0,11243.2001953125,980.0,2263,1,0,0,0,0,0,0,0,0
2,/html/body/div[1]/div[1]/div[1],/html/body/div[]/div[]/div[],5,34,0,90.0,980.0,1,1,0,0,0,0,0,0,0,0
3,/html/body/div[1]/div[1]/div[1]/div,/html/body/div[]/div[]/div[]/div,6,34,0,90.0,980.0,0,2,0,0,0,0,0,0,0,0
4,/html/body/div[1]/div[1]/div[5],/html/body/div[]/div[]/div[],5,42,168,10727.2001953125,726.0,2045,1,0,0,0,0,4,0,0,7
5,/html/body/div[1]/div[1]/div[5]/div[1],/html/body/div[]/div[]/div[]/div[],6,42,168,149.0,726.0,128,1,0,0,0,0,0,0,0,0
6,/html/body/div[1]/div[1]/div[5]/div[1]/div[1],/html/body/div[]/div[]/div[]/div[]/div[],7,42,168,149.0,726.0,117,1,12,16,1,16,0,0,0,0
7,/html/body/div[1]/div[1]/div[5]/div[1]/div[1]/div,/html/body/div[]/div[]/div[]/div[]/div[]/div,8,58,180,123.0,694.0,113,1,0,0,0,0,0,0,13,0
8,/html/body/div[1]/div[1]/div[5]/div[1]/div[1]/div/div[2],/html/body/div[]/div[]/div[]/div[]/div[]/div/div[],9,58,221,82.0,694.0,25,1,0,0,0,0,0,0,0,0
9,/html/body/div[1]/div[1]/div[5]/div[1]/div[1]/div/div[2]/div,/html/body/div[]/div[]/div[]/div[]/div[]/div/div[]/div,10,58,221,82.0,694.0,23,2,0,0,0,0,0,0,0,0
10,/html/body/div[1]/div[1]/div[5]/div[2],/html/body/div[]/div[]/div[]/div[],6,42,317,10528.2001953125,726.0,1906,1,0,0,0,0,0,0,0,0
11,/html/body/div[1]/div[1]/div[5]/div[2]/div[4],/html/body/div[]/div[]/div[]/div[]/div[],7,42,395,332.0,726.0,63,1,0,0,0,0,0,0,0,0
12,/html/body/div[1]/div[1]/div[5]/div[2]/div[4]/div[2],/html/body/div[]/div[]/div[]/div[]/div[]/div[],8,42,419,266.0,724.0,28,1,16,16,16,16,0,0,0,0
13,/html/body/div[1]/div[1]/div[5]/div[2]/div[4]/div[2]/div[1],/html/body/div[]/div[]/div[]/div[]/div[]/div[]/div[],9,58,435,234.0,692.0,26,1,0,0,0,0,0,0,0,0
14,/html/body/div[1]/div[1]/div[5]/div[2]/div[4]/div[2]/div[1]/div[1],/html/body/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div[],10,58,435,234.0,516.0,18,1,0,0,0,0,0,0,0,0
15,/html/body/div[1]/div[1]/div[5]/div[2]/div[4]/div[2]/div[1]/div[1]/div[3],/html/body/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div[],11,58,516,105.0,516.0,0,1,0,0,0,0,8,0,0,0
16,/html/body/div[1]/div[1]/div[5]/div[2]/div[4]/div[2]/div[1]/div[2],/html/body/div[]/div[]/div[]/div[]/div[]/div[]/div[]/div[],10,574,435,234.0,176.0,6,1,0,0,0,0,0,0,0,0
