,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left,is_search_result
0,/html/body/div[1],/html/body/div[],3,0,0,6008.5498046875,1920.0,10835,2,0,0,0,0,0,0,0,0,False
1,/html/body/div[1]/div[1],/html/body/div[]/div[],4,0,0,6008.5498046875,1920.0,10833,2,0,0,0,0,0,0,0,0,False
2,/html/body/div[1]/div[1]/div[4],/html/body/div[]/div[]/div[],5,0,62,5375.85009765625,1920.0,9188,2,0,0,0,0,0,0,0,0,False
3,/html/body/div[1]/div[1]/div[4]/div,/html/body/div[]/div[]/div[]/div,6,0,62,5375.85009765625,1920.0,9187,2,0,0,0,0,0,0,0,0,False
4,/html/body/div[1]/div[1]/div[4]/div/div[2],/html/body/div[]/div[]/div[]/div/div[],7,0,62,5375.85009765625,1920.0,9149,2,0,0,0,0,0,0,0,0,False
5,/html/body/div[1]/div[1]/div[4]/div/div[2]/div[1],/html/body/div[]/div[]/div[]/div/div[]/div[],8,0,62,103.0,1920.0,444,4,0,0,0,0,0,0,0,0,False
6,/html/body/div[1]/div[1]/div[4]/div/div[2]/div[1]/section/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/section/div,10,0,62,103.0,1920.0,157,2,0,0,0,0,0,0,0,0,False
7,/html/body/div[1]/div[1]/div[4]/div/div[2]/div[1]/section/div/div[1],/html/body/div[]/div[]/div[]/div/div[]/div[]/section/div/div[],11,290,62,103.0,1340.0,150,2,0,30,0,30,0,290,0,290,False
8,/html/body/div[1]/div[1]/div[4]/div/div[2]/div[1]/section/div/div[1]/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/section/div/div[]/div,12,320,62,103.0,1280.0,149,1,12,0,16,0,0,0,0,0,False
9,/html/body/div[1]/div[1]/div[4]/div/div[2]/div[1]/section/div/div[1]/div/div/div/div/div/div[2]/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/section/div/div[]/div/div/div/div/div/div[]/div,18,320,82,158.0,315.0,58,4,0,0,0,0,8,0,0,0,False
10,/html/body/div[1]/div[1]/div[4]/div/div[2]/div[1]/section/div/div[1]/div/div/div/div/div/div[2]/div/div[2],/html/body/div[]/div[]/div[]/div/div[]/div[]/section/div/div[]/div/div/div/div/div/div[]/div/div[],19,320,82,158.0,315.0,56,2,0,0,0,0,0,0,0,0,False
