,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left
0,/html/body/div[1],/html/body/div[],3,0,0,4867.5498046875,1366.0,6174,2,0,0,0,0,0,0,0,0
1,/html/body/div[1]/div[1],/html/body/div[]/div[],4,0,0,4867.5498046875,1366.0,6172,2,0,0,0,0,0,0,0,0
2,/html/body/div[1]/div[1]/div[4],/html/body/div[]/div[]/div[],5,0,62,4234.85009765625,1366.0,4527,2,0,0,0,0,0,0,0,0
3,/html/body/div[1]/div[1]/div[4]/div,/html/body/div[]/div[]/div[]/div,6,0,62,4234.85009765625,1366.0,4526,2,0,0,0,0,0,0,0,0
4,/html/body/div[1]/div[1]/div[4]/div/div[2],/html/body/div[]/div[]/div[]/div/div[],7,0,62,4234.85009765625,1366.0,4488,2,0,0,0,0,0,0,0,0
5,/html/body/div[1]/div[1]/div[4]/div/div[2]/div[1],/html/body/div[]/div[]/div[]/div/div[]/div[],8,0,62,103.0,1366.0,446,4,0,0,0,0,0,0,0,0
6,/html/body/div[1]/div[1]/div[4]/div/div[2]/div[1]/section/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/section/div,10,0,62,103.0,1366.0,159,2,0,0,0,0,0,0,0,0
7,/html/body/div[1]/div[1]/div[4]/div/div[2]/div[1]/section/div/div[1],/html/body/div[]/div[]/div[]/div/div[]/div[]/section/div/div[],11,13,62,103.0,1340.0,152,2,0,30,0,30,0,13,0,13
8,/html/body/div[1]/div[1]/div[4]/div/div[2]/div[1]/section/div/div[1]/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/section/div/div[]/div,12,43,62,103.0,1280.0,151,1,12,0,16,0,0,0,0,0
9,/html/body/div[1]/div[1]/div[4]/div/div[2]/div[1]/section/div/div[1]/div/div/div/div/div/div[2]/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/section/div/div[]/div/div/div/div/div/div[]/div,18,43,82,158.0,315.0,58,4,0,0,0,0,8,0,0,0
10,/html/body/div[1]/div[1]/div[4]/div/div[2]/div[1]/section/div/div[1]/div/div/div/div/div/div[2]/div/div[2],/html/body/div[]/div[]/div[]/div/div[]/div[]/section/div/div[]/div/div/div/div/div/div[]/div/div[],19,43,82,158.0,315.0,56,2,0,0,0,0,0,0,0,0
11,/html/body/div[1]/div[1]/div[4]/div/div[2]/div[1]/section/div/div[1]/div/div/div/div/div/div[2]/div/div[2]/div[1],/html/body/div[]/div[]/div[]/div/div[]/div[]/section/div/div[]/div/div/div/div/div/div[]/div/div[]/div[],20,43,82,158.0,315.0,51,2,19,16,19,16,0,0,0,0
12,/html/body/div[1]/div[1]/div[4]/div/div[2]/div[3],/html/body/div[]/div[]/div[]/div/div[]/div[],8,13,165,4131.85009765625,1340.0,4027,1,0,30,0,30,0,13,0,13
13,/html/body/div[1]/div[1]/div[4]/div/div[2]/div[3]/div[1],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[],9,35,165,4131.85009765625,1296.0,4014,1,0,0,0,0,0,-8,0,-8
14,/html/body/div[1]/div[1]/div[4]/div/div[2]/div[3]/div[1]/div[1],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[],10,35,165,4131.85009765625,236.0,1699,3,0,8,0,8,0,0,0,0
15,/html/body/div[1]/div[1]/div[4]/div/div[2]/div[3]/div[1]/div[1]/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div,11,43,165,2442.0,220.0,1695,3,16,0,16,0,0,0,0,0
16,/html/body/div[1]/div[1]/div[4]/div/div[2]/div[3]/div[1]/div[1]/div/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div,12,43,181,2410.0,220.0,1694,1,0,0,0,0,0,0,0,0
17,/html/body/div[1]/div[1]/div[4]/div/div[2]/div[3]/div[1]/div[1]/div/div/div[1],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div/div[],13,43,181,1800.0,220.0,1689,2,0,0,0,0,0,0,0,0
18,/html/body/div[1]/div[1]/div[4]/div/div[2]/div[3]/div[1]/div[1]/div/div/div[1]/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div/div[]/div,14,43,181,1800.0,220.0,1688,2,0,0,0,0,0,0,0,0
19,/html/body/div[1]/div[1]/div[4]/div/div[2]/div[3]/div[1]/div[1]/div/div/div[1]/div/div[2],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div/div[]/div/div[],15,43,181,1800.0,220.0,1374,2,0,0,0,0,0,0,0,0
20,/html/body/div[1]/div[1]/div[4]/div/div[2]/div[3]/div[1]/div[1]/div/div/div[1]/div/div[2]/div[2],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div[],16,43,245,1736.0,220.0,1361,4,0,0,0,0,0,0,0,0
21,/html/body/div[1]/div[1]/div[4]/div/div[2]/div[3]/div[1]/div[1]/div/div/div[1]/div/div[2]/div[2]/div[1],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div[]/div[],17,43,245,186.8000030517578,220.0,69,2,0,0,20,0,0,0,0,0
