,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left
0,/html/body/div[1],/html/body/div[],3,0,0,3941.300048828125,1349.0,1747,2,0,0,0,0,0,0,0,0
1,/html/body/div[1]/div[1]/div/div[1],/html/body/div[]/div[]/div/div[],6,0,470,216.0,1349.0,12,1,0,0,0,0,0,0,0,0
2,/html/body/div[1]/div[1]/div/div[1]/div,/html/body/div[]/div[]/div/div[]/div,7,0,470,216.0,1349.0,11,1,0,24,0,24,0,0,0,0
3,/html/body/div[1]/div[1]/div/div[1]/div/div[1],/html/body/div[]/div[]/div/div[]/div/div[],8,146,506,110.0,88.0,2,2,0,0,0,0,0,0,0,0
4,/html/body/div[1]/div[1]/div/div[1]/div/div[1]/div,/html/body/div[]/div[]/div/div[]/div/div[]/div,9,146,506,110.0,88.0,1,2,0,0,110,0,0,0,0,0
5,/html/body/div[1]/div[1]/div/div[1]/div/div[2],/html/body/div[]/div[]/div/div[]/div/div[],8,258,494,156.0,557.0,4,1,0,0,0,0,24,36,36,24
6,/html/body/div[1]/div[1]/div/div[1]/div/div[3],/html/body/div[]/div[]/div/div[]/div/div[],8,852,530,96.0,351.0,2,1,0,0,0,0,0,0,0,0
7,/html/body/div[1]/div[1]/div/div[2],/html/body/div[]/div[]/div/div[],6,0,0,686.0,1349.0,0,1,0,0,0,0,0,0,0,0
8,/html/body/div[1]/div[2],/html/body/div[]/div[],4,0,0,114.0,1349.0,51,1,0,0,0,0,0,0,0,0
9,/html/body/div[1]/div[2]/header/div,/html/body/div[]/div[]/header/div,6,84,0,114.0,1180.0,49,1,0,0,0,0,0,0,0,0
10,/html/body/div[1]/div[2]/header/div/div[1],/html/body/div[]/div[]/header/div/div[],7,84,0,78.0,1180.0,25,0,0,0,0,0,0,0,0,0
11,/html/body/div[1]/div[2]/header/div/div[1]/div,/html/body/div[]/div[]/header/div/div[]/div,8,84,0,78.0,175.8333282470703,4,2,24,0,24,0,0,0,0,0
12,/html/body/div[1]/div[3],/html/body/div[]/div[],4,0,114,3827.300048828125,1349.0,1671,1,0,0,0,0,0,0,0,0
13,/html/body/div[1]/div[3]/div,/html/body/div[]/div[]/div,5,0,114,3827.300048828125,1349.0,1670,1,0,0,0,0,0,0,0,0
14,/html/body/div[1]/div[3]/div/div[1],/html/body/div[]/div[]/div/div[],6,0,114,132.0,1349.0,33,1,0,0,0,0,0,0,0,0
15,/html/body/div[1]/div[3]/div/div[1]/div,/html/body/div[]/div[]/div/div[]/div,7,84,114,132.0,1180.0,32,1,0,0,0,0,0,0,0,0
16,/html/body/div[1]/div[3]/div/div[1]/div/div,/html/body/div[]/div[]/div/div[]/div/div,8,84,114,132.0,1180.0,31,1,0,0,0,0,0,0,0,0
17,/html/body/div[1]/div[3]/div/div[1]/div/div/div,/html/body/div[]/div[]/div/div[]/div/div/div,9,84,114,132.0,1180.0,30,1,0,0,0,0,0,0,0,0
18,/html/body/div[1]/div[3]/div/div[1]/div/div/div/div,/html/body/div[]/div[]/div/div[]/div/div/div/div,10,84,114,132.0,1180.0,29,0,0,0,0,0,0,0,0,0
19,/html/body/div[1]/div[3]/div/div[1]/div/div/div/div/div,/html/body/div[]/div[]/div/div[]/div/div/div/div/div,11,84,114,132.0,1180.0,28,1,12,12,24,12,0,0,0,0
20,/html/body/div[1]/div[3]/div/div[2],/html/body/div[]/div[]/div/div[],6,0,246,3579.300048828125,1349.0,1620,1,0,0,0,0,0,0,0,0
21,/html/body/div[1]/div[3]/div/div[2]/div[1],/html/body/div[]/div[]/div/div[]/div[],7,0,246,89.0,1349.0,71,1,0,0,0,0,0,0,0,0
22,/html/body/div[1]/div[3]/div/div[2]/div[1]/div,/html/body/div[]/div[]/div/div[]/div[]/div,8,84,246,89.0,1180.0,70,1,0,0,0,0,0,0,0,0
23,/html/body/div[1]/div[3]/div/div[2]/div[2],/html/body/div[]/div[]/div/div[]/div[],7,84,322,3641.800048828125,1180.0,107,1,0,0,0,0,0,0,0,0
24,/html/body/div[1]/div[3]/div/div[2]/div[2]/div[1],/html/body/div[]/div[]/div/div[]/div[]/div[],8,84,322,3641.800048828125,1180.0,0,1,0,0,0,0,0,0,0,0
25,/html/body/div[1]/div[3]/div/div[3],/html/body/div[]/div[]/div/div[],6,0,3964,116.0,1349.0,14,1,0,0,0,0,0,0,0,0
26,/html/body/div[1]/div[3]/div/div[3]/div,/html/body/div[]/div[]/div/div[]/div,7,84,3964,116.0,1180.0,13,1,0,0,0,0,0,0,0,0
27,/html/body/div[1]/div[3]/div/div[3]/div/div,/html/body/div[]/div[]/div/div[]/div/div,8,84,3964,116.0,1180.0,12,2,42,0,42,0,0,0,0,0
