,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left,is_search_result
0,/html/body/div[2],/html/body/div[],3,0,32,348.20001220703125,1903.0,454,1,0,0,0,0,0,0,0,0,False
1,/html/body/div[2]/div,/html/body/div[]/div,4,0,32,348.20001220703125,1903.0,453,1,0,0,0,0,0,0,0,0,False
2,/html/body/div[2]/div/div[2],/html/body/div[]/div/div[],5,0,75,305.0,1903.0,395,3,0,0,0,0,0,0,0,0,False
3,/html/body/div[2]/div/div[2]/div[2]/div/div/div[2]/header/div/nav/div[1]/div/div/div,/html/body/div[]/div/div[]/div[]/div/div/div[]/header/div/nav/div[]/div/div/div,16,0,0,966.0,1903.0,0,1,0,0,0,0,0,0,0,0,False
4,/html/body/div[2]/div/div[2]/div[6],/html/body/div[]/div/div[]/div[],6,0,179,201.0,1903.0,83,2,0,0,0,0,0,0,0,0,False
5,/html/body/div[2]/div/div[2]/div[6]/div[2],/html/body/div[]/div/div[]/div[]/div[],7,0,218,162.0,1903.0,53,3,0,0,0,0,0,0,0,0,False
6,/html/body/div[2]/div/div[2]/div[6]/div[2]/div,/html/body/div[]/div/div[]/div[]/div[]/div,8,312,218,162.0,1280.0,52,2,0,24,0,24,0,311.5,0,311.5,False
7,/html/body/div[2]/div/div[2]/div[6]/div[2]/div/div[1],/html/body/div[]/div/div[]/div[]/div[]/div/div[],9,336,218,162.0,308.0,9,1,0,0,24,0,0,0,0,0,False
8,/html/body/div[2]/div/div[2]/div[6]/div[2]/div/div[1]/div,/html/body/div[]/div/div[]/div[]/div[]/div/div[]/div,10,336,218,138.0,308.0,8,3,0,0,0,0,0,0,0,0,False
9,/html/body/div[2]/div/div[2]/div[6]/div[2]/div/div[1]/div/div,/html/body/div[]/div/div[]/div[]/div[]/div/div[]/div/div,11,336,218,138.0,308.0,7,5,0,0,0,0,0,0,0,0,False
10,/html/body/div[2]/div/div[2]/div[6]/div[2]/div/div[1]/div/div/div,/html/body/div[]/div/div[]/div[]/div[]/div/div[]/div/div/div,12,336,218,138.0,296.0,6,2,0,0,0,0,0,12,0,0,False
11,/html/body/div[2]/div/div[2]/div[6]/div[2]/div/div[2],/html/body/div[]/div/div[]/div[]/div[]/div/div[],9,644,218,118.0,924.0,41,1,0,0,0,12,0,0,0,0,False
12,/html/body/div[2]/div/div[2]/div[6]/div[2]/div/div[2]/div[2],/html/body/div[]/div/div[]/div[]/div[]/div/div[]/div[],10,656,254,82.0,912.0,35,1,12,0,0,0,0,0,0,0,False
13,/html/body/div[3],/html/body/div[],3,0,380,10099.349609375,1903.0,3916,1,0,0,0,0,0,0,0,0,False
14,/html/body/div[3]/div[1],/html/body/div[]/div[],4,0,380,9929.75,1903.0,3536,1,0,0,0,0,0,0,0,0,False
15,/html/body/div[3]/div[1]/div[1],/html/body/div[]/div[]/div[],5,312,381,9672.349609375,1280.0,3488,2,0,24,0,24,0,311.5,0,311.5,False
16,/html/body/div[3]/div[1]/div[1]/div,/html/body/div[]/div[]/div[]/div,6,336,381,9672.349609375,1232.0,3487,2,0,0,0,0,0,0,0,0,False
17,/html/body/div[3]/div[1]/div[1]/div/div[1],/html/body/div[]/div[]/div[]/div/div[],7,336,381,9672.349609375,308.0,499,3,16,12,0,0,0,0,0,0,False
18,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1],/html/body/div[]/div[]/div[]/div/div[]/div[],8,336,397,2355.0,296.0,484,1,24,23,24,24,0,0,0,0,False
19,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[],9,360,422,2305.0,247.0,465,3,0,0,0,0,0,0,0,0,False
20,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5]/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div,10,360,422,2305.0,247.0,464,5,0,0,0,0,0,0,0,0,False
21,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5]/div/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div,11,360,422,2305.0,247.0,463,2,0,0,0,0,0,0,0,0,False
22,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5]/div/div/div[2],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div[],12,360,422,2305.0,247.0,457,1,0,0,0,0,0,0,0,0,False
23,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5]/div/div/div[2]/div[1],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div[]/div[],13,360,422,101.40000915527344,247.0,12,2,0,0,16,0,0,0,0,0,False
24,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5]/div/div/div[2]/div[2],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div[]/div[],13,360,524,189.0,247.0,32,2,16,0,16,0,0,0,0,0,False
25,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5]/div/div/div[2]/div[2]/div[2],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div[]/div[]/div[],14,360,570,116.0,247.0,29,1,0,0,0,0,10,0,0,0,False
