,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left
0,/html/body/div[2],/html/body/div[],3,0,48,348.20001220703125,1349.0,448,1,0,0,0,0,0,0,0,0
1,/html/body/div[2]/div,/html/body/div[]/div,4,0,48,348.20001220703125,1349.0,447,1,0,0,0,0,0,0,0,0
2,/html/body/div[2]/div/div[2],/html/body/div[]/div/div[],5,0,91,305.0,1349.0,389,3,0,0,0,0,0,0,0,0
3,/html/body/div[2]/div/div[2]/div[2]/div/div/div[2]/header/div/nav/div[1]/div/div/div,/html/body/div[]/div/div[]/div[]/div/div/div[]/header/div/nav/div[]/div/div/div,16,0,0,686.0,1349.0,0,1,0,0,0,0,0,0,0,0
4,/html/body/div[2]/div/div[2]/div[6],/html/body/div[]/div/div[]/div[],6,0,195,201.0,1349.0,83,2,0,0,0,0,0,0,0,0
5,/html/body/div[2]/div/div[2]/div[6]/div[2],/html/body/div[]/div/div[]/div[]/div[],7,0,234,162.0,1349.0,53,3,0,0,0,0,0,0,0,0
6,/html/body/div[2]/div/div[2]/div[6]/div[2]/div,/html/body/div[]/div/div[]/div[]/div[]/div,8,34,234,162.0,1280.0,52,2,0,24,0,24,0,34.5,0,34.5
7,/html/body/div[2]/div/div[2]/div[6]/div[2]/div/div[1],/html/body/div[]/div/div[]/div[]/div[]/div/div[],9,58,234,162.0,308.0,9,1,0,0,24,0,0,0,0,0
8,/html/body/div[2]/div/div[2]/div[6]/div[2]/div/div[1]/div,/html/body/div[]/div/div[]/div[]/div[]/div/div[]/div,10,58,234,138.0,308.0,8,3,0,0,0,0,0,0,0,0
9,/html/body/div[2]/div/div[2]/div[6]/div[2]/div/div[1]/div/div,/html/body/div[]/div/div[]/div[]/div[]/div/div[]/div/div,11,58,234,138.0,308.0,7,5,0,0,0,0,0,0,0,0
10,/html/body/div[2]/div/div[2]/div[6]/div[2]/div/div[1]/div/div/div,/html/body/div[]/div/div[]/div[]/div[]/div/div[]/div/div/div,12,58,234,138.0,296.0,6,2,0,0,0,0,0,12,0,0
11,/html/body/div[2]/div/div[2]/div[6]/div[2]/div/div[2],/html/body/div[]/div/div[]/div[]/div[]/div/div[],9,366,234,118.0,924.0,41,1,0,0,0,12,0,0,0,0
12,/html/body/div[2]/div/div[2]/div[6]/div[2]/div/div[2]/div[2],/html/body/div[]/div/div[]/div[]/div[]/div/div[]/div[],10,378,270,82.0,912.0,35,1,12,0,0,0,0,0,0,0
13,/html/body/div[3],/html/body/div[],3,0,396,10147.5498046875,1349.0,4429,1,0,0,0,0,0,0,0,0
14,/html/body/div[3]/div[1],/html/body/div[]/div[],4,0,396,9977.9501953125,1349.0,4049,1,0,0,0,0,0,0,0,0
15,/html/body/div[3]/div[1]/div[1],/html/body/div[]/div[]/div[],5,34,397,9720.5498046875,1280.0,4001,2,0,24,0,24,0,34.5,0,34.5
16,/html/body/div[3]/div[1]/div[1]/div,/html/body/div[]/div[]/div[]/div,6,58,397,9720.5498046875,1232.0,4000,2,0,0,0,0,0,0,0,0
17,/html/body/div[3]/div[1]/div[1]/div/div[1],/html/body/div[]/div[]/div[]/div/div[],7,58,397,9720.5498046875,308.0,497,3,16,12,0,0,0,0,0,0
18,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1],/html/body/div[]/div[]/div[]/div/div[]/div[],8,58,413,2355.0,296.0,482,1,24,23,24,24,0,0,0,0
19,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[],9,84,438,2305.0,247.0,465,3,0,0,0,0,0,0,0,0
20,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5]/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div,10,84,438,2305.0,247.0,464,5,0,0,0,0,0,0,0,0
21,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5]/div/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div,11,84,438,2305.0,247.0,463,2,0,0,0,0,0,0,0,0
22,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5]/div/div/div[2],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div[],12,84,438,2305.0,247.0,457,1,0,0,0,0,0,0,0,0
23,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5]/div/div/div[2]/div[1],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div[]/div[],13,84,438,101.40000915527344,247.0,12,2,0,0,16,0,0,0,0,0
24,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5]/div/div/div[2]/div[2],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div[]/div[],13,84,540,189.0,247.0,32,2,16,0,16,0,0,0,0,0
25,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5]/div/div/div[2]/div[2]/div[2],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div[]/div[]/div[],14,84,586,116.0,247.0,29,1,0,0,0,0,10,0,0,0
26,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5]/div/div/div[2]/div[3],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div[]/div[],13,84,729,202.59999084472656,247.0,22,2,16,0,16,0,0,0,0,0
27,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5]/div/div/div[2]/div[3]/div[2],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div[]/div[]/div[],14,84,775,139.59999084472656,247.0,19,1,0,0,0,0,10,0,0,0
28,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5]/div/div/div[2]/div[3]/div[2]/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div[]/div[]/div[]/div,15,84,775,139.59999084472656,247.0,18,0,0,0,0,0,0,0,0,0
29,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5]/div/div/div[2]/div[4],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div[]/div[],13,84,931,179.8000030517578,247.0,38,2,16,0,16,0,0,0,0,0
30,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5]/div/div/div[2]/div[4]/div[2],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div[]/div[]/div[],14,84,977,106.8000030517578,247.0,35,1,0,0,0,0,10,0,0,0
31,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5]/div/div/div[2]/div[5],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div[]/div[],13,84,1111,222.1999969482422,247.0,45,2,16,0,16,0,0,0,0,0
32,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5]/div/div/div[2]/div[5]/div[2],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div[]/div[]/div[],14,84,1157,159.1999969482422,247.0,42,1,0,0,0,0,10,0,0,0
33,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5]/div/div/div[2]/div[6],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div[]/div[],13,84,1333,197.8000030517578,247.0,37,2,16,0,16,0,0,0,0,0
34,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5]/div/div/div[2]/div[6]/div[2],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div[]/div[]/div[],14,84,1379,134.8000030517578,247.0,34,1,0,0,0,0,10,0,0,0
35,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5]/div/div/div[2]/div[7],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div[]/div[],13,84,1531,382.7999877929687,247.0,78,0,0,0,0,0,0,0,0,0
36,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5]/div/div/div[2]/div[7]/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div[]/div[]/div,14,84,1531,382.7999877929687,247.0,77,2,16,0,16,0,0,0,0,0
37,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5]/div/div/div[2]/div[7]/div/div[2],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div[]/div[]/div/div[],15,84,1578,318.79998779296875,247.0,74,1,0,0,0,0,10,0,0,0
38,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5]/div/div/div[2]/div[7]/div/div[2]/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div[]/div[]/div/div[]/div,16,84,1578,318.79998779296875,247.0,73,1,0,0,0,0,0,0,0,0
39,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5]/div/div/div[2]/div[7]/div/div[2]/div/div[2],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div[]/div[]/div/div[]/div/div[],17,84,1671,226.0,247.0,64,1,0,0,0,0,28,0,0,0
40,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5]/div/div/div[2]/div[7]/div/div[2]/div/div[2]/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div[]/div[]/div/div[]/div/div[]/div,18,84,1671,226.0,247.0,63,2,0,0,0,0,0,0,0,0
41,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5]/div/div/div[2]/div[7]/div/div[2]/div/div[2]/div/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div[]/div[]/div/div[]/div/div[]/div/div,19,84,1671,226.0,247.0,62,2,0,0,0,0,0,0,0,0
42,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5]/div/div/div[2]/div[8],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div[]/div[],13,84,1914,255.0,247.0,69,2,16,0,16,0,0,0,0,0
43,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5]/div/div/div[2]/div[8]/div[2],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div[]/div[]/div[],14,84,1960,188.0,247.0,66,1,0,0,0,0,10,0,0,0
44,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5]/div/div/div[2]/div[8]/div[2]/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div[]/div[]/div[]/div,15,84,1960,188.0,247.0,65,2,0,0,0,0,0,0,0,0
45,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5]/div/div/div[2]/div[8]/div[2]/div/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div[]/div[]/div[]/div/div,16,84,1960,188.0,247.0,64,1,0,0,0,0,0,0,0,0
46,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5]/div/div/div[2]/div[9],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div[]/div[],13,84,2169,179.8000030517578,247.0,35,2,16,0,16,0,0,0,0,0
47,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5]/div/div/div[2]/div[9]/div[2],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div[]/div[]/div[],14,84,2215,106.8000030517578,247.0,32,1,0,0,0,0,10,0,0,0
48,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5]/div/div/div[2]/div[10],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div[]/div[],13,84,2349,197.79998779296875,247.0,39,2,16,0,16,0,0,0,0,0
49,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5]/div/div/div[2]/div[10]/div[2],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div[]/div[]/div[],14,84,2395,134.79998779296875,247.0,36,1,0,0,0,0,10,0,0,0
50,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5]/div/div/div[2]/div[11],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div[]/div[],13,84,2546,196.8000030517578,247.0,39,2,16,0,16,0,0,0,0,0
51,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[1]/div[5]/div/div/div[2]/div[11]/div[2],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div[]/div[]/div[],14,84,2592,134.8000030517578,247.0,36,1,0,0,0,0,10,0,0,0
52,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[2],/html/body/div[]/div[]/div[]/div/div[]/div[],8,58,2768,7349.5498046875,296.0,13,3,0,0,20,0,0,0,0,0
53,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[2]/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div,9,58,2768,7329.5498046875,296.0,12,5,0,0,0,0,0,0,0,0
54,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[2]/div/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div/div,10,58,2768,7329.5498046875,296.0,11,1,0,0,0,0,0,0,0,0
55,/html/body/div[3]/div[1]/div[1]/div/div[1]/div[2]/div/div/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div/div/div,11,58,2768,7329.5498046875,296.0,10,1,0,0,0,0,0,0,0,0
56,/html/body/div[3]/div[1]/div[1]/div/div[2],/html/body/div[]/div[]/div[]/div/div[],7,366,397,9720.5498046875,924.0,3501,2,0,0,12,12,0,0,0,0
57,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[2],/html/body/div[]/div[]/div[]/div/div[]/div[],8,378,397,84.80000305175781,912.0,37,3,0,0,0,0,0,0,0,0
58,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[2]/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div,9,378,397,84.80000305175781,912.0,36,5,0,0,0,0,0,0,0,0
59,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3],/html/body/div[]/div[]/div[]/div/div[]/div[],8,378,488,9617.75,912.0,3455,1,0,0,0,0,0,0,0,0
60,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[],9,378,549,9557.2001953125,912.0,3445,1,0,0,0,0,0,0,0,0
61,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[],10,378,549,8463.400390625,912.0,3360,3,0,0,0,0,0,0,0,0
