,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left,is_search_result
0,/html/body/div[3],/html/body/div[],3,0,0,7322.75,1349.0,6416,2,0,0,0,0,0,0,0,0,False
1,/html/body/div[3]/div[2],/html/body/div[]/div[],4,0,0,120.0,1349.0,214,1,0,0,0,0,0,0,0,0,False
2,/html/body/div[3]/main/div[1],/html/body/div[]/main/div[],5,0,188,7134.75,1349.0,6082,1,0,0,0,0,0,0,0,0,False
3,/html/body/div[3]/main/div[1]/div[1],/html/body/div[]/main/div[]/div[],6,0,188,7134.75,1349.0,6071,2,0,0,0,0,0,0,0,0,False
4,/html/body/div[3]/main/div[1]/div[1]/div[3],/html/body/div[]/main/div[]/div[]/div[],7,0,188,7134.75,1349.0,6068,1,0,0,0,0,0,0,0,0,False
5,/html/body/div[3]/main/div[1]/div[1]/div[3]/div,/html/body/div[]/main/div[]/div[]/div[]/div,8,0,188,7134.75,1349.0,6067,2,0,0,0,0,0,0,0,0,False
6,/html/body/div[3]/main/div[1]/div[1]/div[3]/div/div[1],/html/body/div[]/main/div[]/div[]/div[]/div/div[],9,0,188,7110.75,1349.0,6055,2,0,0,0,0,0,0,0,0,False
7,/html/body/div[3]/main/div[1]/div[1]/div[3]/div/div[1]/div[2],/html/body/div[]/main/div[]/div[]/div[]/div/div[]/div[],10,0,188,7110.75,1349.0,5414,2,0,0,0,0,0,0,0,0,False
8,/html/body/div[3]/main/div[1]/div[1]/div[3]/div/div[1]/div[2]/div[1],/html/body/div[]/main/div[]/div[]/div[]/div/div[]/div[]/div[],11,0,188,7110.75,1349.0,5402,2,0,0,0,0,0,0,0,0,False
9,/html/body/div[3]/main/div[1]/div[1]/div[3]/div/div[1]/div[2]/div[1]/div[1],/html/body/div[]/main/div[]/div[]/div[]/div/div[]/div[]/div[]/div[],12,16,200,7098.75,780.0,5108,1,0,0,0,0,12,16,0,16,False
10,/html/body/div[3]/main/div[1]/div[1]/div[3]/div/div[1]/div[2]/div[1]/div[1]/div[1],/html/body/div[]/main/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div[],13,16,196,76.0,780.0,4,1,0,0,0,0,-12,0,0,0,False
11,/html/body/div[3]/main/div[1]/div[1]/div[3]/div/div[1]/div[2]/div[1]/div[1]/section/ol/li[1]/div,/html/body/div[]/main/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/section/ol/li[]/div,16,16,320,201.0,780.0,179,0,0,0,0,0,0,0,0,0,True
12,/html/body/div[3]/main/div[1]/div[1]/div[3]/div/div[1]/div[2]/div[1]/div[1]/section/ol/li[1]/div/article/div[1],/html/body/div[]/main/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/section/ol/li[]/div/article/div[],18,16,320,201.0,780.0,167,1,0,0,0,0,0,0,0,0,False
13,/html/body/div[3]/main/div[1]/div[1]/div[3]/div/div[1]/div[2]/div[1]/div[1]/section/ol/li[1]/div/article/div[1]/div[1],/html/body/div[]/main/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/section/ol/li[]/div/article/div[]/div[],19,16,320,201.0,187.0,19,1,2,2,2,2,0,0,0,0,False
14,/html/body/div[3]/main/div[1]/div[1]/div[3]/div/div[1]/div[2]/div[1]/div[1]/section/ol/li[1]/div/article/div[1]/div[1]/div[2],/html/body/div[]/main/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/section/ol/li[]/div/article/div[]/div[]/div[],20,18,322,197.0,187.0,8,2,0,0,0,0,0,0,0,0,False
15,/html/body/div[3]/main/div[1]/div[1]/div[3]/div/div[1]/div[2]/div[1]/div[1]/section/ol/li[1]/div/article/div[1]/div[1]/div[2]/div,/html/body/div[]/main/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/section/ol/li[]/div/article/div[]/div[]/div[]/div,21,18,322,187.0,187.0,7,4,187,0,0,0,0,0,0,0,False
