,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left
0,/html/body/div[3],/html/body/div[],3,0,0,6482.25,1349.0,4187,2,0,0,0,0,0,0,0,0
1,/html/body/div[3]/div[2],/html/body/div[]/div[],4,0,0,120.0,1349.0,416,1,0,0,0,0,0,0,0,0
2,/html/body/div[3]/div[2]/div[4]/div[1]/form/div[4],/html/body/div[]/div[]/div[]/div[]/form/div[],8,439,123,349.0,320.0,207,3,0,0,0,0,0,0,0,0
3,/html/body/div[3]/div[2]/div[4]/div[1]/form/div[4]/div[2],/html/body/div[]/div[]/div[]/div[]/form/div[]/div[],9,450,169,292.0,298.0,199,2,0,0,0,0,10,10,10,10
4,/html/body/div[3]/div[2]/div[4]/div[1]/form/div[4]/div[2]/div,/html/body/div[]/div[]/div[]/div[]/form/div[]/div[]/div,10,450,169,292.0,298.0,188,0,0,0,0,0,0,0,0,0
5,/html/body/div[3]/main/div[1],/html/body/div[]/main/div[],5,0,188,5728.5,1349.0,3509,1,0,0,0,0,0,0,0,0
6,/html/body/div[3]/main/div[1]/div[1],/html/body/div[]/main/div[]/div[],6,0,188,5728.5,1349.0,3498,2,0,0,0,0,0,0,0,0
7,/html/body/div[3]/main/div[1]/div[1]/div[3],/html/body/div[]/main/div[]/div[]/div[],7,0,188,5728.5,1349.0,3495,1,0,0,0,0,0,0,0,0
8,/html/body/div[3]/main/div[1]/div[1]/div[3]/div,/html/body/div[]/main/div[]/div[]/div[]/div,8,0,188,5728.5,1349.0,3494,2,0,0,0,0,0,0,0,0
9,/html/body/div[3]/main/div[1]/div[1]/div[3]/div/div[1],/html/body/div[]/main/div[]/div[]/div[]/div/div[],9,0,188,5704.5,1349.0,3482,2,0,0,0,0,0,0,0,0
10,/html/body/div[3]/main/div[1]/div[1]/div[3]/div/div[1]/div[2],/html/body/div[]/main/div[]/div[]/div[]/div/div[]/div[],10,0,188,5704.5,1349.0,3479,2,0,0,0,0,0,0,0,0
11,/html/body/div[3]/main/div[1]/div[1]/div[3]/div/div[1]/div[2]/div[1],/html/body/div[]/main/div[]/div[]/div[]/div/div[]/div[]/div[],11,0,188,5704.5,1349.0,3467,2,0,0,0,0,0,0,0,0
12,/html/body/div[3]/main/div[1]/div[1]/div[3]/div/div[1]/div[2]/div[1]/div[1],/html/body/div[]/main/div[]/div[]/div[]/div/div[]/div[]/div[]/div[],12,16,200,5692.5,780.0,3185,1,0,0,0,0,12,16,0,16
13,/html/body/div[3]/main/div[1]/div[1]/div[3]/div/div[1]/div[2]/div[1]/div[1]/div[1],/html/body/div[]/main/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div[],13,16,196,76.0,780.0,4,1,0,0,0,0,-12,0,0,0
14,/html/body/div[3]/main/div[1]/div[1]/div[3]/div/div[1]/div[2]/div[1]/div[1]/section/ol/li[1]/div,/html/body/div[]/main/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/section/ol/li[]/div,16,16,320,200.0,780.0,124,0,0,0,0,0,0,0,0,0
15,/html/body/div[3]/main/div[1]/div[1]/div[3]/div/div[1]/div[2]/div[1]/div[1]/section/ol/li[1]/div/article/div[1],/html/body/div[]/main/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/section/ol/li[]/div/article/div[],18,16,320,200.0,780.0,112,1,0,0,0,0,0,0,0,0
16,/html/body/div[3]/main/div[1]/div[1]/div[3]/div/div[1]/div[2]/div[1]/div[1]/section/ol/li[1]/div/article/div[1]/div[1],/html/body/div[]/main/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/section/ol/li[]/div/article/div[]/div[],19,16,320,200.0,187.0,19,1,2,2,2,2,0,0,0,0
17,/html/body/div[3]/main/div[1]/div[1]/div[3]/div/div[1]/div[2]/div[1]/div[1]/section/ol/li[1]/div/article/div[1]/div[1]/div[2],/html/body/div[]/main/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/section/ol/li[]/div/article/div[]/div[]/div[],20,18,322,196.0,187.0,8,2,0,0,0,0,0,0,0,0
18,/html/body/div[3]/main/div[1]/div[1]/div[3]/div/div[1]/div[2]/div[1]/div[1]/section/ol/li[1]/div/article/div[1]/div[1]/div[2]/div,/html/body/div[]/main/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/section/ol/li[]/div/article/div[]/div[]/div[]/div,21,18,322,187.0,187.0,7,4,187,0,0,0,0,0,0,0
19,/html/body/div[3]/main/div[1]/div[1]/div[3]/div/div[1]/div[2]/div[1]/div[1]/section/ol/li[1]/div/article/div[1]/div[2],/html/body/div[]/main/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/section/ol/li[]/div/article/div[]/div[],19,203,320,200.0,593.0,91,1,0,0,0,0,0,0,0,0
20,/html/body/div[3]/main/div[1]/div[1]/div[3]/div/div[1]/div[2]/div[1]/div[1]/section/ol/li[1]/div/article/div[1]/div[2]/div,/html/body/div[]/main/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/section/ol/li[]/div/article/div[]/div[]/div,20,203,328,184.0,300.0,48,1,0,12,0,12,8,0,8,0
21,/html/body/div[3]/main/div[1]/div[1]/div[3]/div/div[1]/div[2]/div[1]/div[1]/section/ol/li[1]/div/article/div[1]/div[2]/div/div,/html/body/div[]/main/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/section/ol/li[]/div/article/div[]/div[]/div/div,21,215,328,180.0,276.0,47,1,0,0,0,0,0,0,4,0
22,/html/body/div[3]/main/div[1]/div[1]/div[3]/div/div[1]/div[2]/div[1]/div[1]/section/ol/li[1]/div/article/div[1]/div[2]/section/div[1],/html/body/div[]/main/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/section/ol/li[]/div/article/div[]/div[]/section/div[],21,503,328,116.0,285.0,22,1,0,0,0,0,0,0,0,0
23,/html/body/div[3]/main/div[1]/div[1]/div[3]/div/div[1]/div[2]/div[1]/div[1]/section/ol/li[1]/div/article/div[1]/div[2]/section/div[1]/article/div,/html/body/div[]/main/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/section/ol/li[]/div/article/div[]/div[]/section/div[]/article/div,23,503,328,116.0,285.0,20,13,8,12,8,12,0,0,0,0
24,/html/body/div[3]/main/div[1]/div[1]/div[3]/div/div[1]/div[2]/div[1]/div[1]/section/ol/li[2]/div,/html/body/div[]/main/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/section/ol/li[]/div,16,16,528,182.0,780.0,124,0,0,0,0,0,0,0,0,0
