,xpath
20,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[2]
24,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[3]
28,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[4]
32,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[5]
36,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[6]
40,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[7]
44,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[8]
48,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[9]
52,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[10]
56,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[11]
60,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[12]
64,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[13]
68,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[14]
72,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[15]
76,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[16]
80,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[17]
84,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[18]
88,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[19]
92,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[20]
96,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[21]
100,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[22]
104,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[23]
108,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[24]
112,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[25]
116,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[26]
120,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[27]
124,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[28]
128,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[29]
132,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[30]
136,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[31]
140,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[32]
144,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[33]
148,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[34]
152,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[35]
156,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[36]
160,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[37]
164,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[38]
168,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[39]
172,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[40]
176,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[41]
180,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[42]
184,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[43]
188,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[44]
192,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[45]
196,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[46]
200,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[47]
204,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[48]
208,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[49]
212,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[50]
216,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[51]
